Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
AA,4325628000,NYSE,178450000,-102000000,-231000000,-395000000,-746000000,549000000,469000000,-392000000,337000000,88077388,121860248,135876357,119825107,102521931,83339721,91788197,130002646,90307983,107250774,85279789,127536829,191304727,166629068,113953936,127034824,132889418,156731444,142115092,202557200,156760501,149124338,194243527,164909239
AAP,3050826000,NYSE,59470000,85362000,42651000,106696000,110982000,144402000,139791000,81669000,169813000,26461917,46925464,72038701,42510512,81128639,43233181,21055768,41002842,24776350,18194287,20396691,28359509,15499084,16959157,17809963,13667326,16756840,20853243,15367205,21327315,19719784,12940759,14600464,13488493
ACHC,7147982000,NASDAQ,92172000,72299000,66015000,61124000,71099000,80079000,60837000,70278000,66126000,9013727,8938259,7543027,16168198,14757023,13281889,11620719,14702513,12357975,8630904,13198503,13607303,12748109,12730063,12293342,13469039,10094167,12915716,16427189,13505360,7914827,9812817,8768932,7537335
ACI,12865450000,NYSE,575893000,266900000,417200000,311100000,375500000,342700000,484200000,455100000,424500000,42404542,115582753,55673917,47806367,99370869,99841753,70218144,129173048,67907690,50574035,43704726,75912322,191747681,76665692,56919853,68609643,55610396,54498648,60496568,64558040,23362694,54721620,43721752,23641855
ACM,10835967000,NYSE,138727000,,,,,,,,,8188398,15002327,15754630,10846623,21767777,23608714,11601802,24397447,29229922,18144081,15245894,14962512,12589702,14952036,12770881,10504433,14956352,16096676,14824885,20591141,14905022,12481602,17781476,22058257
ADC,5309076000,NYSE,96269000,40868000,41614000,40926000,39425000,35973000,36113000,33150000,36663000,13567322,15135931,19755198,17406463,29709161,14695024,11355735,18983549,34884075,14086392,19903612,16958730,14676811,23047869,11876875,13505016,17401219,20160748,12308072,14470620,10927229,9454161,17078102,9189726
ADT,5997175000,NYSE,866481000,92211000,-89698000,151443000,-121987000,91517000,51645000,-57947000,-109129000,30475368,48325035,51194031,42380252,79985723,86468432,47726226,70602558,47523897,46973756,75926557,100720019,148154091,78230299,40515797,30317134,59682247,40129761,34343165,67115156,35948524,49486203,35224016,49114011
AFG,9258619000,NYSE,84864000,200000000,212000000,276000000,165000000,167000000,290000000,355000000,219000000,5646885,8783312,8239700,6098626,7751976,7828590,5735380,9409262,8030992,5812877,6910131,11059966,7436972,7272629,7191441,6586799,7222829,9227230,5553284,7819799,6168430,5412811,5406661,6595994
AFRM,5387346000,NASDAQ,239683000,-205962000,-205677000,-322437000,-251269000,-186396000,-54671000,-159735000,-306615000,179424135,270333506,369441905,314479563,395509783,374737468,181246338,390822121,446045975,363796457,316576677,358359903,229501776,222860717,323139892,317602835,328149437,484324880,161450274,285129456,418722167,275814130,193396949,234406499
AGCO,8674063000,NYSE,74880000,319200000,232600000,322200000,237900000,177700000,151800000,282100000,181300000,8261461,13930298,12289343,10670707,13446707,15610884,9777898,15016822,16879817,10799729,13592892,12250727,12400664,12848421,10882222,14019983,12478062,16749793,15182882,23416068,15587638,11898325,12977300,12829869
