Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
DHI,1335100000,942200000,958700000,1631800000,1647800000,1436300000,1141600000,1339000000,,,,,,,,,,,,,1999-12-31
DHR,1106000000,1450000000,2232000000,1572000000,1680000000,1725000000,1788000000,1158000000,,,,,,,,,,,,,1999-12-31
DIS,-460000000,1271000000,1279000000,162000000,1409000000,470000000,1104000000,159000000,,,,,,,,,,,,,1999-12-31
DLR,118184000,68726000,3901000,237075000,63427000,73281000,1067810000,134275000,,,,,,,,,,,,,
DLTR,,,,,,,,,,,,,,,,,,,,,
DOV,242239000,228574000,263579000,286026000,289618000,226153000,362785000,263756000,,,,,,,,,,,,,1999-12-31
DOW,485000000,-93000000,613000000,739000000,1661000000,1569000000,1736000000,1683000000,,,,,,,,,,,,,2019-04-30
DPZ,147676000,109380000,104770000,158302000,100504000,102493000,90964000,155685000,,,,,,,,,,,,,
DRI,,,,,,,,,,,,,,,,,,,,,1999-12-31
DTE,201000000,445000000,265000000,387000000,37000000,394000000,306000000,25000000,,,,,,,,,,,,,1999-12-31
DUK,-220000000,804000000,-636000000,1422000000,907000000,857000000,746000000,1405000000,,,,,,,,,,,,,1999-12-31
DVA,178691000,115547000,68103000,105366000,224809000,162122000,187473000,259754000,,,,,,,,,,,,,
DVN,690000000,995000000,1201000000,1893000000,1932000000,989000000,1506000000,838000000,,,,,,,,,,,,,1999-12-31
DXCM,115900000,48600000,91800000,101200000,50900000,97300000,-5300000,87300000,,,,,,,,,,,,,2005-05-31
EA,402000000,-12000000,204000000,299000000,311000000,225000000,66000000,294000000,,,,,,,,,,,,,
EBAY,,,,,,,,,,,,,,,,,,,,,
ECL,329700000,233400000,591100000,347100000,308300000,171900000,654800000,324500000,,,,,,,,,,,,,1999-12-31
ED,226000000,1433000000,190000000,613000000,255000000,602000000,224000000,538000000,,,,,,,,,,,,,1999-12-31
EFX,138300000,112400000,108200000,165700000,200600000,221800000,122100000,205400000,,,,,,,,,,,,,
EG,670000000,365000000,496000000,-319000000,123000000,298000000,430707000,-73468000,,,,,,,,,,,,,1999-12-31
EIX,409000000,365000000,470000000,-74000000,292000000,136000000,689000000,-297000000,,,,,,,,,,,,,1999-12-31
EL,-32000000,155000000,397000000,490000000,51000000,570000000,1086000000,694000000,,,,,,,,,,,,,1999-12-31
ELV,,,,,,,,,,,,,,,,,,,,,
EMN,272000000,134000000,1000000,301000000,256000000,235000000,378000000,351000000,,,,,,,,,,,,,1999-12-31
EMR,9352000000,792000000,2331000000,740000000,921000000,674000000,896000000,670000000,,,,,,,,,,,,,1999-12-31
ENPH,157191000,146873000,153753000,114812000,76976000,51821000,52591000,21809000,,,,,,,,,,,,,
EOG,1553000000,2023000000,2277000000,2854000000,2238000000,390000000,1985000000,1095000000,,,,,,,,,,,,,1999-12-31
EPAM,120033000,102292000,155039000,156054000,18604000,89719000,142279000,115656000,,,,,,,,,,,,,2012-03-30
EQIX,207030000,258786000,128763000,211807000,216322000,147453000,123274000,152216000,,,,,,,,,,,,,
EQR,,,,,,,,,,,,,,,,,,,,,
EQT,-66626000,1218548000,1711982000,683670000,891361000,-1516048000,1804752000,-1976812000,,,,,,,,,,,,,1999-12-31
ES,17302000,493039000,322044000,351289000,293742000,445326000,308578000,285046000,,,,,,,,,,,,,1999-12-31
ESS,99620000,153532000,185165000,92842000,57054000,73254000,136874000,118390000,,,,,,,,,,,,,
ETN,744000000,638000000,721000000,607000000,601000000,532000000,551000000,629000000,,,,,,,,,,,,,1999-12-31
ETR,391244000,310935000,106474000,560589000,159703000,276400000,245159000,535583000,,,,,,,,,,,,,1999-12-31
ETSY,61915000,74537000,109548000,-963068000,73123000,86109000,161557000,89930000,,,,,,,,,,,,,
EVRG,,,,,,,,,,,,,,,,,,,,,
EW,307100000,340500000,398400000,343500000,406400000,373600000,335300000,340100000,,,,,,,,,,,,,2000-04-28
EXC,343000000,669000000,432000000,676000000,465000000,597000000,391000000,1203000000,,,,,,,,,,,,,1999-12-31
EXPD,196800000,226011000,219276000,414209000,377805000,346109000,452832000,359068000,,,,,,,,,,,,,
EXPE,,,,,,,,,,,,,,,,,,,,,
EXR,202410000,196304000,204260000,220719000,232130000,203579000,268427000,188276000,,,,,,,,,,,,,2004-09-30
F,1917000000,1757000000,1289000000,-827000000,667000000,-3110000000,12282000000,1832000000,,,,,,,,,,,,,1999-12-31
FANG,556000000,712000000,1007000000,1184000000,1416000000,779000000,1002000000,649000000,,,,,,,,,,,,,
FAST,298000000,295100000,245600000,284600000,287100000,269600000,231200000,243500000,,,,,,,,,,,,,1999-12-31
FCX,343000000,663000000,697000000,404000000,840000000,2281000000,3224000000,1399000000,,,,,,,,,,,,,1999-12-31
FDS,134663000,131593000,136798000,104422000,74910000,109938000,107647000,101062000,,,,,,,,,,,,,
FDX,,,,,,,,,,,,,,,,,,,,,
FE,235000000,292000000,-403000000,334000000,187000000,288000000,427000000,463000000,,,,,,,,,,,,,1999-12-31
FFIV,88976000,81436000,72402000,89346000,83019000,56236000,93559000,110718000,,,,,,,,,,,,,1999-12-31
FI,683000000,563000000,782000000,481000000,598000000,669000000,333000000,428000000,,,,,,,,,,,,,
FICO,128758000,101550000,97643000,90699000,93500000,104383000,84959000,85720000,,,,,,,,,,,,,1999-12-31
FIS,-6596000000,140000000,-17366000000,249000000,277000000,120000000,291000000,158000000,,,,,,,,,,,,,2001-07-31
FITB,601000000,558000000,737000000,653000000,562000000,494000000,663000000,704000000,,,,,,,,,,,,,
FLT,,,,,,,,,,,,,,,,,,,,,
FMC,30500000,196000000,273900000,121000000,134200000,207400000,190700000,159700000,,,,,,,,,,,,,1999-12-31
FOX,375000000,-54000000,313000000,605000000,306000000,283000000,-85000000,701000000,,,,,,,,,,,,,2019-04-30
FOXA,375000000,-54000000,313000000,605000000,306000000,283000000,-85000000,701000000,,,,,,,,,,,,,
FRT,,,,,,,,,,,,,,,,,,,,,
FSLR,170579000,42561000,-7548000,-49168000,55805000,-43255000,131370000,45203000,,,,,,,,,,,,,2006-12-29
FTNT,266300000,247700000,313800000,231600000,173500000,138400000,199000000,163100000,,,,,,,,,,,,,2009-12-31
FTV,209000000,173600000,227200000,189900000,173000000,165100000,165000000,152300000,,,,,,,,,,,,,
GD,744000000,730000000,992000000,902000000,766000000,730000000,952000000,860000000,,,,,,,,,,,,,1999-12-31
GE,35000000,7506000000,2222000000,-165000000,-882000000,-1136000000,-3843000000,1257000000,,,,,,,,,,,,,1999-12-31
GEHC,418000000,383000000,554000000,488000000,485000000,389000000,564000000,,,,,,,,,,,,,,
GEN,,,,,,,,,,,,,,,,,,,,,
GILD,1045000000,1010000000,1640000000,1789000000,1144000000,19000000,382000000,2592000000,,,,,,,,,,,,,1999-12-31
GIS,673500000,614900000,553100000,605900000,820000000,822800000,660300000,597200000,,,,,,,,,,,,,1999-12-31
GL,215260000,223610000,211560000,186779000,223973000,237484000,177953000,188871000,,,,,,,,,,,,,
GLW,281000000,176000000,-36000000,208000000,563000000,581000000,487000000,371000000,,,,,,,,,,,,,1999-12-31
