Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
GM,2566000000,2395000000,1999000000,3305000000,1692000000,2939000000,1741000000,2420000000,,,,,,,,,,,,,2010-12-31
GNRC,45198000,12430000,71015000,58270000,156359000,113858000,142895000,131570000,,,,,,,,,,,,,2010-03-31
GOOG,18368000000,15051000000,13624000000,13910000000,16002000000,16436000000,20642000000,18936000000,,,,,,,,,,,,,
GOOGL,,,,,,,,,,,,,,,,,,,,,
GPC,344494000,303957000,251976000,312358000,372529000,245838000,255999000,228585000,,,,,,,,,,,,,1999-12-31
GPN,274148000,-11041000,249306000,290454000,-672999000,244733000,208453000,296736000,,,,,,,,,,,,,2001-02-28
GRMN,287939000,202327000,293272000,210848000,257873000,211592000,286136000,259039000,,,,,,,,,,,,,
GS,,,,,,,,,,,,,,,,,,,,,
GWW,470000000,488000000,384000000,426000000,371000000,366000000,283000000,297000000,,,,,,,,,,,,,1999-12-31
HAL,610000000,651000000,656000000,544000000,109000000,263000000,824000000,236000000,,,,,,,,,,,,,1999-12-31
HAS,-235000000,-22100000,-128900000,129200000,142000000,61200000,82200000,253200000,,,,,,,,,,,,,
HBAN,559000000,602000000,645000000,594000000,539000000,460000000,401000000,377000000,,,,,,,,,,,,,1999-12-31
HCA,1193000000,1363000000,2081000000,1134000000,1155000000,1273000000,1814000000,2269000000,,,,,,,,,,,,,2011-04-29
HD,4659000000,3873000000,3362000000,4339000000,5173000000,4231000000,3352000000,4129000000,,,,,,,,,,,,,
HES,,,,,,,,,,,,,,,,,,,,,
HIG,547000000,535000000,589000000,339000000,444000000,443000000,729000000,482000000,,,,,,,,,,,,,1999-12-31
HII,130000000,129000000,123000000,138000000,178000000,140000000,120000000,147000000,,,,,,,,,,,,,2011-04-29
HLT,411000000,206000000,328000000,347000000,368000000,212000000,147000000,241000000,,,,,,,,,,,,,
HOLX,-40500000,218500000,187400000,118700000,228400000,455700000,499200000,328800000,,,,,,,,,,,,,1999-12-31
HON,1487000000,1394000000,1019000000,1552000000,1261000000,1134000000,1428000000,1257000000,,,,,,,,,,,,,1999-12-31
HPE,464000000,418000000,501000000,-304000000,409000000,250000000,513000000,2553000000,,,,,,,,,,,,,
HPQ,,,,,,,,,,,,,,,,,,,,,
HRL,162679000,217239000,217719000,279884000,218915000,261617000,239571000,281738000,,,,,,,,,,,,,1999-12-31
HSIC,140000000,121000000,47000000,150000000,160000000,181000000,147000000,162000000,,,,,,,,,,,,,1999-12-31
HST,210000000,287000000,147000000,114000000,256000000,116000000,320000000,-119000000,,,,,,,,,,,,,
HSY,,,,,,,,,,,,,,,,,,,,,
HUM,959000000,1239000000,-15000000,1195000000,696000000,930000000,-14000000,1531000000,,,,,,,,,,,,,1999-12-31
HWM,193000000,148000000,111000000,80000000,147000000,131000000,77000000,27000000,,,,,,,,,,,,,1999-12-31
IBM,1583000000,927000000,2710000000,-3196000000,1392000000,733000000,2333000000,1130000000,,,,,,,,,,,,,
ICE,799000000,655000000,425000000,-191000000,555000000,657000000,1527000000,633000000,,,,,,,,,,,,,2005-12-30
IDXX,224236000,214054000,172207000,180938000,131979000,193965000,162771000,175235000,,,,,,,,,,,,,1999-12-31
IEX,138600000,139800000,130000000,178700000,138200000,140000000,118800000,115700000,,,,,,,,,,,,,
IFF,,,,,,,,,,,,,,,,,,,,,
ILMN,-234000000,3000000,-139000000,-3816000000,-535000000,86000000,113000000,317000000,,,,,,,,,,,,,2000-08-31
INCY,203548000,21703000,28461000,112775000,161432000,37992000,563851000,181739000,,,,,,,,,,,,,1999-12-31
INTC,1481000000,-2758000000,-664000000,1019000000,-454000000,8113000000,4623000000,6823000000,,,,,,,,,,,,,
INTU,89000000,2087000000,168000000,40000000,-56000000,1794000000,100000000,228000000,,,,,,,,,,,,,1999-12-31
INVH,137864000,120242000,100572000,79179000,110963000,92615000,74543000,69177000,,,,,,,,,,,,,2017-03-31
IP,235000000,172000000,-318000000,951000000,511000000,360000000,107000000,864000000,,,,,,,,,,,,,1999-12-31
IPG,,,,,,,,,,,,,,,,,,,,,
IQV,297000000,289000000,227000000,283000000,256000000,325000000,318000000,261000000,,,,,,,,,,,,,2013-06-28
IR,179500000,161100000,217400000,145100000,138500000,103700000,293000000,126000000,,,,,,,,,,,,,2017-06-30
IRM,114000,64595000,122437000,192164000,200081000,42299000,61648000,67683000,,,,,,,,,,,,,
ISRG,,,,,,,,,,,,,,,,,,,,,
IT,198043000,295783000,256814000,173545000,204925000,172515000,209359000,148865000,,,,,,,,,,,,,1999-12-31
ITW,754000000,714000000,907000000,727000000,738000000,662000000,609000000,639000000,,,,,,,,,,,,,1999-12-31
IVZ,132200000,145000000,187800000,177400000,121000000,197700000,426800000,330100000,,,,,,,,,,,,,
J,164239000,216512000,135647000,225207000,195983000,88816000,134034000,43145000,,,,,,,,,,,,,1999-12-31
JBHT,189552000,197768000,201303000,269382000,255342000,243325000,242209000,199829000,,,,,,,,,,,,,1999-12-31
JCI,1049000000,133000000,118000000,761000000,379000000,11000000,381000000,269000000,,,,,,,,,,,,,
JKHY,,,,,,,,,,,,,,,,,,,,,
JNJ,5144000000,-68000000,3520000000,4458000000,4814000000,5149000000,4736000000,3667000000,,,,,,,,,,,,,1999-12-31
JNPR,24400000,85400000,180400000,121500000,113400000,55700000,132900000,88900000,,,,,,,,,,,,,1999-12-31
JPM,14472000000,12622000000,11008000000,9737000000,8649000000,8282000000,10399000000,11687000000,,,,,,,,,,,,,
K,,,,,,,,,,,,,,,,,,,,,
KDP,503000000,467000000,453000000,180000000,218000000,585000000,843000000,530000000,,,,,,,,,,,,,2008-05-30
KEY,287000000,312000000,394000000,542000000,533000000,448000000,629000000,645000000,,,,,,,,,,,,,1999-12-31
KEYS,288000000,283000000,260000000,299000000,338000000,258000000,229000000,282000000,,,,,,,,,,,,,
KHC,1000000000,836000000,890000000,432000000,265000000,776000000,-257000000,733000000,,,,,,,,,,,,,2015-08-31
KIM,106626000,289763000,-49779000,57954000,-119501000,237302000,81681000,507739000,,,,,,,,,,,,,1999-12-31
KLAC,684654000,697837000,978795000,1025991000,805374000,730572000,717444000,1068417000,,,,,,,,,,,,,
KMB,,,,,,,,,,,,,,,,,,,,,
KMI,586000000,679000000,670000000,576000000,635000000,667000000,637000000,495000000,,,,,,,,,,,,,2011-03-31
KMX,118635000,228298000,69012000,37580000,125905000,252265000,159836000,269438000,,,,,,,,,,,,,1999-12-31
KO,2547000000,3107000000,2031000000,2825000000,1905000000,2781000000,2414000000,2471000000,,,,,,,,,,,,,
KR,,,,,,,,,,,,,,,,,,,,,
KVUE,430000000,330000000,370000000,585000000,604000000,528000000,411000000,,,,,,,,,,,,,,2023-06-30
L,360000000,375000000,364000000,130000000,167000000,322000000,343000000,220000000,,,,,,,,,,,,,1999-12-31
LDOS,207000000,162000000,177000000,162000000,171000000,175000000,174000000,205000000,,,,,,,,,,,,,
LEN,1108996000,871694000,596534000,1322444000,1467344000,1320756000,503581000,1190491000,,,,,,,,,,,,,1999-12-31
LH,188900000,212900000,76100000,352800000,358600000,491600000,553000000,587300000,,,,,,,,,,,,,1999-12-31
LHX,349000000,337000000,416000000,-300000000,471000000,475000000,484000000,481000000,,,,,,,,,,,,,
