Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
LCID,466095135,505443712,764192704,1138717978,1242746746,341695529,316853721,395051001,556579953,858683412,644399304,518759808,381797635,389481594,399857888,302836699,381957763,551100909,427857556,588648539,547774441,929890974,1345472559,2151525930
CC,18319102,23008994,25591714,24291819,50483836,25365454,18326604,30078068,21163445,16209866,24816454,25590798,43665102,42342973,23036199,26515708,40457277,45376424,27488180,56094627,38620624,22787829,30132372,27871291
KBR,22435566,28499842,20200997,22105179,39547233,26107643,19750730,23197871,19734637,21154040,18201547,19579731,29309628,30220719,25468869,22162863,48613550,28203118,34586331,44200684,29408833,22569629,24471425,20833417
PARAA,910201,1429323,1595961,1368488,1229282,2545851,702401,881343,1278766,1507880,2482486,2046139,1451857,1521947,1069923,729643,1273828,1324182,1356764,2332860,2406809,2101219,2476328,1525239
RBLX,134142296,215536724,274571321,175829361,193827303,204275149,195718772,250993642,274094842,266385849,293007137,324772891,427427062,403444698,494152560,580001880,608179491,875464040,418029411,480123099,618271279,439927502,362710999,644266032
PTON,158593629,259956962,268462909,183072676,251761473,256215049,137201683,226569106,325103014,239901632,241989195,281878893,343670296,272469844,462669400,238016229,237915499,348965529,174424016,238635309,700901384,627328865,383923628,487707085
SNOW,49867122,81131018,128763563,96018589,147567660,148234578,102435480,146726826,94632400,110981564,116243998,115763652,131646353,137717664,177887474,122667210,164791558,205654152,106935964,191395687,72533624,82098362,84345044,58951268
SGEN,24676843,32613259,25015633,20580471,26383843,36445979,28454183,38849806,28244383,19594367,19144883,20035444,19804495,19705948,25367717,23564041,37803264,28146277,19934610,21294498,29990041,17516020,18762894,18717355
SPR,83881087,84246019,109593855,32808741,61957167,63708658,67292359,36454209,46149398,42066666,40984049,56648914,46206563,48445326,46273279,37236843,43526390,57647583,26929667,50759667,37968642,38242376,37037113,43344104
U,150399432,226176989,203278190,234346902,452008746,188249851,109476633,197725563,270118351,210548625,221579588,344332049,167598017,176262514,206169160,244030322,164214692,247177683,67716947,84792483,90772407,98284204,96151165,127568022
TWLO,27418214,43027682,84536363,93450621,68753557,160995017,62429152,90242973,122310613,64369573,77628959,160861723,69503674,88436339,115721630,61761848,78762015,94071452,59133564,79978668,101939726,60603106,52350345,53321126
INFA,3917325,7105520,11499561,5943803,8555895,13013881,7805267,16722700,9058266,6973905,6426126,7820088,8542799,7595974,8445053,9888919,9403465,13374783,12156347,15017611,18470530,10223574,16161138,17306475
LAZ,8314012,12332856,11923894,14204700,18054609,15875724,13374539,19367212,14311659,11286503,17898921,14937853,17616134,15605318,13369093,13644841,14426852,14696878,18062603,22114844,19140845,12257897,11648888,10016060
QS,67568295,91671632,233696590,234172264,125406161,101972237,80944206,104735441,145577835,145896166,143988328,171452662,136615505,127079684,124216171,122043253,171540385,174096800,126635247,191567645,143443817,197330157,190087843,323092311
LYFT,153357923,221317682,403299202,293746345,299378734,499942146,301225221,471240102,559132003,274948916,262504139,432671191,286850555,321074876,347242151,250732371,229800350,455976808,91112765,125947221,171398946,127100823,135840803,155010416
OKTA,42362283,49049302,49446909,42630848,76850857,48332709,36546671,66196880,44021137,52763887,85999171,98167653,68904178,167969476,43244434,41122697,85333344,69700163,36288457,83116810,38378261,47372771,41640981,27845608
NTRA,20052173,26859815,26136439,14981464,23551627,23424690,22202162,34485147,25512703,28068363,30128891,45376323,21430098,23654646,30859859,23697774,26328078,35116481,31237852,111453465,16997840,30881567,16209794,16717414
ROKU,76047227,148878710,150782569,234444555,149655808,117020434,165968645,197531842,200751413,141584720,128908431,210709636,177775897,183101229,255613427,193936505,182773095,156981655,129878986,122555917,232099765,118435502,156216222,95495962
CFLT,44471923,68699587,98079349,69261893,114202534,102438005,54105829,71508578,80804777,83937477,53649203,68831299,46898090,43398098,53651084,39811318,77695356,97399253,38592849,80730716,72011793,60129303,68127757,58137273
CG,31311573,43343870,56318411,45363672,48896464,76752076,58574312,91957384,71177021,48772056,67490091,73742001,60682493,55729242,63933037,40964118,51810615,68992920,43664458,52719146,68520797,44057685,40964156,54417749
CCCS,37627641,61716725,29149402,29676002,36389524,31921658,9789327,27236627,10234019,12609682,18531877,19064586,22019278,27541661,27860619,17085100,32668425,23949550,29589474,35484770,14926309,17061420,16997549,11136692
IONS,18219218,22434579,16048887,22303553,34430919,25137560,16913657,21209441,15581081,22877357,23126716,21189639,20397747,25306436,21185686,16258126,19404471,24968248,24283907,20724521,22096507,27368354,29020223,20560820
EXAS,22367057,26121680,35251663,25057723,41142670,47242391,26692188,49146743,41592366,66159690,53517746,47765876,44494986,45202367,59320752,33318295,48649628,50840518,39739627,38028281,36467495,54462532,38728910,41139148
THG,3136001,4054785,3860464,3462600,3838843,4220809,3609641,4024018,3721060,3065827,3591173,3024062,3863390,4294485,3625583,3752689,3736126,4117131,4003242,3373824,3540811,2902330,2724621,2801576
SPLK,32623968,75759981,42961461,26096771,32614453,35496798,19594046,42869983,35151548,33001743,55345543,41330431,60180951,46259608,48919498,31616545,39533604,59698546,29659103,60974200,47969307,54456157,56316477,51306145
TEAM,22348845,21325732,35499765,33351776,40116322,56885268,29389319,41524937,55160474,52106885,94130652,78259545,37496431,30034388,45674856,34389584,36490714,55282216,37883284,44796455,31588215,58694569,32425757,18564751
QDEL,7539050,11154680,13777684,7800273,8058712,7727780,6983870,8737716,11405274,10434365,16235753,12002930,13291258,14773810,19331285,10545055,16437318,17761956,8703873,10378311,13896269,17677538,21669594,12457188
SRCL,7641993,13591096,8621555,9344825,9845253,6898734,8087132,12138781,8196302,4816694,7676979,9129746,12759559,7700257,9627534,5679013,10910595,9034575,9842697,15025244,7921826,6031448,8420740,10555283
ESTC,21837925,28692363,21851653,22780285,34405549,23227394,16191091,25560517,20108380,28138082,35890144,34556337,25305477,30324710,26157278,17712885,37043840,34890702,20651120,34421814,21396142,41992660,37122614,20420706
LPX,14185074,18199313,24841722,17830587,17546554,20635323,16738083,18546879,18055320,12579993,18466257,21287845,17134767,30058651,28059653,22533672,32913816,29528962,22944717,27009578,18831480,25547420,26836992,28619053
NCNO,7755574,14704824,11147068,8279127,29613545,16216053,13071893,29733674,8024592,15311004,12726814,16719424,14478632,24967637,10909944,10429707,18022228,22389667,16695928,34994704,9389551,15174316,22996702,12715624
NTNX,38786733,56279404,33548740,26388951,34158720,34987506,16871318,42274699,22720635,29170255,65202551,40146705,59153619,69892748,49598457,33236888,59724614,83613856,26998436,42018113,30233924,35256106,39006852,40437170
ICUI,2262665,3734847,5788249,3364905,3311925,4501250,2824778,4393649,3351753,4184684,3061847,4403310,3666439,4123037,5263165,3371068,4011300,5157382,3454457,5323104,4648414,3084653,2468837,3258742
MSGS,1836192,4452602,5637444,7821448,2536287,3283431,2055717,2750360,3101013,3246633,3892358,3773033,4746330,2669497,2919026,1696811,2310447,3070777,1685230,2579016,2473388,2071414,3145863,2970747
MRCY,6274100,13230573,28219870,8151767,19923946,9395080,4344459,6476176,8555524,5022780,9321923,6469215,6572182,7073326,10410634,7258132,8447501,10834547,6499698,17535003,11596958,13758042,21321065,11037371
MRVI,37493527,43525068,71519097,39852313,41642911,97332047,26989733,29111653,23195957,30440434,43143994,48140736,50029672,33978480,26172916,26198605,24203746,34328623,33510239,42371879,63565700,35527825,23938655,40534941
IRDM,12337182,14797050,15167237,19899403,30043689,12285514,13051321,18579390,12469300,13259208,11446660,10965372,11802919,15963888,9669753,8652231,11646390,10290106,10785225,16337728,35372454,18178190,18065502,11901014
VSCO,50001553,47236033,47909287,38891641,79263168,38431526,24663969,43573080,22525129,32261004,27769838,22560741,25648402,26510722,30604163,28902545,53290776,31304324,19673668,36738400,24447973,30870470,35265500,41421394
CERT,9977138,14145945,16779970,14667960,32565544,25651082,19368960,58310562,9285052,13200236,13835151,20748312,13250480,16307049,25169137,9260738,11675544,12021872,8711570,19679670,9585245,14979914,21359355,29807533
RKT,34438479,35849333,44235193,45972452,33511501,43417504,35895332,68170619,72972015,54496492,59825505,70845724,76173279,64048420,78099944,58706445,76956370,103723134,99052858,127576089,114990824,100003469,96017050,101805694
PRGO,21631189,27551897,35585830,24948586,17426201,32837686,14395976,27774340,20990448,19148105,33732627,40073703,21180348,22334952,34241274,20024783,26977597,38224296,28948816,31264183,34071627,29616479,31639663,31711382
UAA,91965058,118705438,163747160,121376205,138432256,185830453,98654181,177536468,170996357,134835269,162680543,209639221,184422606,148939774,146763489,135538580,214550297,250511372,93269743,157364275,158359828,127068048,109257622,165992881
TDC,9124623,17693320,30454887,18198384,19877370,20875044,12170284,23311998,22124733,12238280,14168147,27975430,21653533,17958282,20550392,10308683,17276487,26515768,19453335,21833943,25153529,17084735,18015976,27458882
PEN,6788969,7231224,9404736,7447490,6942224,8805412,6147599,7490162,6699431,6456756,7273612,9479929,5687011,8340407,8269039,8429283,7849812,7935223,5011179,4641393,3495749,4362931,3901537,3029827
NCR,,,,,,,,,,,,,,,,,,,,,,,,
RYN,5557336,15150071,10549397,8689704,11339890,12063408,7302832,10899425,8151527,6839277,7947387,9915982,11595453,14299486,9600375,12622959,12271219,13915345,10946848,14177047,11202705,11632108,11233816,10623269
WTM,168889,176703,189652,166424,181978,210170,219973,283041,209953,191054,266100,214348,206997,494461,290395,283996,383131,329866,344506,318728,292170,337021,401792,244296
PINC,14609500,69564450,21495027,9772822,17909198,26834907,9068318,11468769,13286171,10395589,10205970,11313898,10034465,11606965,10338619,10959968,12519936,11138811,10265964,14129492,9146899,11488896,14457752,13021993
FOUR,17448099,25496753,27121719,18852659,20969922,26325486,39449639,32713301,26498170,23626667,21008155,27355211,19303184,15931042,21735505,18875379,28690627,25711875,21110099,29837142,19285551,27043471,32078943,37647940
MAT,33952601,56752365,59897676,101113268,49610878,52155096,48602778,66402031,70189469,60616151,68536149,98747165,74892873,57963407,52182191,66403291,52643835,88155209,58170551,57079921,86458357,72111457,70294622,50679406
TPG,6677265,10564497,11083550,8861183,13774081,14621733,6911348,12944472,10087285,9061069,11361243,18149102,7818904,17811309,10298038,7230575,10165389,9999701,8095346,16647085,11957301,,,
PLTR,889479380,945684790,1700364252,1223840033,1899671869,2089203399,502172206,664477697,1277417906,606538987,627319917,813208403,664804027,757355372,905348919,711815313,827006724,1127139638,644756171,1014624389,1301344413,1056823286,781023964,884189785
LOPE,4133125,3532176,4770775,3264393,4566375,4590117,2841790,4300875,4159697,3364130,5623787,4792560,5352103,4766980,6192951,4861614,9311908,8365800,5908131,8419555,9503360,7177001,9599792,8724028
RRC,45787658,47269327,47930296,61818205,83107848,102479303,71536298,95073198,147890164,79085496,77651773,72875608,96776475,92899287,80739870,88100570,136219796,103483356,90543451,192076944,109926533,113999577,85583104,80866698
PHIN,6440451,14210607,11893025,55485447,,,,,,,,,,,,,,,,,,,,
MORN,2295725,9389503,3419120,4286470,4265132,3005658,3262754,3355578,1842779,1505366,1987876,1801883,2311606,2068861,1826132,2172686,2833554,3239562,3232600,3351065,2837493,4432517,2399951,1470914
PCTY,4834221,5235630,8507549,8029223,8464542,13882183,6360218,12424209,9851197,7758620,6575879,13291869,11341118,7626537,8939887,5373136,5715329,8493057,3944127,4889131,5681137,6186674,6777469,8598890
MANH,5710079,8710117,10571002,8355114,8484789,7514263,5766147,5353928,6330334,6003765,5308888,5878834,8767696,6731866,6149461,7334126,6497280,7167925,6226653,7032934,9059654,6379615,7441325,4987124
PLNT,27312092,58031827,31606351,23985726,47215371,27095194,15432034,16029609,19638663,21006851,14403451,21831988,18796847,23164986,18368827,13953607,17081215,24743475,12809462,23875364,20697145,21278630,17411317,25134344
SMG,9520019,15059089,19757423,12688135,17199663,16344683,14392124,14519295,16410712,17260626,17179444,21107728,22962321,19459098,12544109,7802936,15842161,11666739,9552071,12979074,9664065,7878550,8791958,9738548
FIVE,13044348,23040714,16295589,9395720,17414807,16013166,16026279,16649668,11726287,15835687,22775191,17413398,17455025,22532786,18920141,16349931,26609378,24182741,18065732,21709244,14039721,17826073,15631910,9870103
CELH,17224655,23962392,33546290,19524313,32018319,32438396,13106632,23090013,19652100,17362815,16661346,27357097,19373339,26966890,59967315,22049375,19259389,27743658,14083202,22028853,17732575,24230867,17991479,27220530
STAG,14853762,21775915,22377611,24620180,56053942,73981778,22319208,29044324,19330131,20373453,18875927,27679637,35154810,31181121,26943198,24440212,28715227,36147054,20802155,21404534,21369352,22606338,29990847,26878338
WWE,8792975,16550984,11164954,12393378,17467596,39780043,21661958,15698490,30968919,11728270,12880192,16705495,13980648,11350482,16864440,17882900,15434483,10829287,15086632,15492006,10919742,10600836,13620774,9336164
CHE,848670,1427173,1538403,1585677,1584366,1395068,1155793,1616685,1686101,1333170,1560428,2022090,1759353,1666734,1281054,1322569,1488553,1465055,1355985,1443540,968430,952967,1889498,1746847
TRU,20559003,23683585,23694105,25636001,40445675,34237808,30272020,39125216,33111114,32462853,30454973,29755399,31666711,34562060,21600837,30864091,30535459,28867014,32991689,37008945,36211869,24636944,17832750,17480937
KRC,14871993,24258733,22018193,21683000,25594348,27253737,23223271,40754478,17653824,19416049,18542438,18076838,23976287,24897696,18070474,14808934,19088181,22207652,15809654,16090662,16441557,12566908,14340639,11389993
KEX,4607552,8200253,6403723,6815531,6930864,6748585,6647178,7453898,7351367,8323562,6997489,8157367,8803187,7616872,7108919,6758776,9731300,9148654,12775323,13910523,8929743,13194015,8953402,6734916
CGNX,15461002,16343995,21206633,12441549,18915675,19863050,9576162,19727677,17331828,14498435,17681767,20115290,14198757,24367104,27069127,15840411,29970147,32608386,12320185,21551484,20696734,15300485,13370730,18727505
VVV,21803432,29642620,43945159,22778501,79254250,53026965,22088567,42736716,27751532,25201997,27626241,39355505,33603837,23252643,35618923,16864149,29960790,44320836,21662844,31949439,27334478,23759244,24030711,22200050
VNO,43406391,62418818,58029974,64200182,97734050,80112326,71943684,133830964,49072641,122331027,71678081,84161465,69933916,49030016,43745211,40557856,39724436,33800716,27226384,35460391,32472592,29862008,28422242,27925961
FCN,3133140,3626246,5445826,7200960,5016761,5672881,4399137,6071643,4244919,4272851,5626920,5904339,9268488,5446714,4925080,5598697,5836262,5921564,4836984,3580175,3650669,4544863,3412459,3945593
FLO,21901333,29629621,38535431,41831106,34674544,48623055,21330233,46707857,39921573,56119671,31328486,31036103,26324073,27421218,27656324,19585725,32001253,35333402,29017008,44097588,30915270,35782290,23991235,25467211
ESAB,3834697,5092773,3975784,5000788,4539827,4937009,4612670,7700377,5698775,4237319,5495015,10641994,7331262,7769530,5288776,7473304,10952807,9142112,14858343,,,,,
REYN,4717257,5225837,6325095,6866624,5625061,8232609,4822351,9221634,7130778,5778359,7913104,10133659,8665238,13837718,7785816,7442149,9274535,9562126,6422779,7755740,11895786,8061017,9354619,7147641
WH,16805564,14849214,14983117,20485679,19710443,29002112,20332272,23338780,13617515,13580024,16410984,17137013,18196927,23421059,15032744,13879094,19137453,16258818,12247053,19804700,18935221,12162395,22668926,13048613
LFUS,1245820,1694777,2163272,1528797,1787657,1921269,1583950,2057642,1900708,1779392,2139465,2018524,1930076,2604820,2455807,1924529,1772293,2388061,1979878,2122003,2329003,1863253,1868823,1770059
FND,46343755,30715558,26967952,23463603,24844453,29445833,25048723,30027921,34352790,30674344,31051774,36406077,33166766,29903745,33211711,27325596,31354111,32130550,28585987,25639486,23347738,20629925,12229910,14189705
KNSL,1686072,2617366,2247529,2532413,6436326,3119328,2560416,3526812,3602215,3167515,3045614,3365013,3589122,3429525,2797236,1942347,2051235,2091156,2173456,2299515,1945394,2710386,2730732,2531321
TREX,16782741,20452312,22637999,19614175,21140838,25492678,17044848,23118643,23971489,18467481,22775527,33766714,29818682,23357292,31895199,18093024,24652492,29738006,29629172,35400307,21589422,25863955,17007901,15419023
WDAY,24773475,37658620,38738444,37129579,44061385,53351545,31736813,46073318,39968252,38996799,43763630,56064043,39701504,58379022,67477424,46817609,73606775,85451494,36257436,58682170,42966027,50863994,31537634,39473081
