Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
DT,13811025000,NYSE,293290000.0,38188000.0,80293000.0,15026000.0,10526000.0,2114000.0,929000.0,14587000.0,23641000.0,19851441.0,47150426.0,64350572.0,47736090.0,64698229.0,77608136.0,37106396.0,47639229.0,85792099.0,37976513.0,36009638.0,50733877.0,45389304.0,100334003.0,44018375.0,43782242.0,58465591.0,101804368.0,52107690.0,60209704.0,71265148.0,59470974.0,45661933.0,46311222.0
DTM,5360635000,NYSE,96902000.0,91000000.0,81000000.0,85000000.0,113000000.0,91000000.0,81000000.0,87000000.0,74000000.0,,,,,,,,,,,,,,,,,,,,,,,,
DV,4544992000,NYSE,167403000.0,12839000.0,12175000.0,18068000.0,10331000.0,10290000.0,4579000.0,28308000.0,7924000.0,12687510.0,38397522.0,54628673.0,23430763.0,29486973.0,34854778.0,17817533.0,41277225.0,19825455.0,42438518.0,13269922.0,32729064.0,27234313.0,27709687.0,21721757.0,11062059.0,15311570.0,20541617.0,9986989.0,20590978.0,13201393.0,17596450.0,29186799.0,23094663.0
DXC,4222481000,NYSE,205174000.0,36000000.0,-756000000.0,59000000.0,27000000.0,102000000.0,530000000.0,98000000.0,-188000000.0,84252393.0,55240250.0,71658588.0,29372629.0,42104938.0,46685990.0,26888709.0,43561970.0,32985290.0,26952905.0,33326979.0,41546102.0,57810012.0,98059261.0,45133867.0,21376293.0,36965882.0,51309805.0,33632519.0,60477546.0,43089619.0,30917405.0,44008034.0,37219617.0
EEFT,3821283000,NASDAQ,49659300.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,7216609000,NYSE,45398900.0,43450000.0,44690000.0,38671000.0,37792000.0,46139000.0,63580000.0,71889000.0,30771000.0,3057189.0,5213691.0,5904105.0,6316829.0,7343007.0,4965277.0,4152127.0,5722815.0,4369716.0,4491839.0,5194262.0,4529202.0,7700284.0,6348412.0,4280424.0,4243272.0,12448624.0,7957374.0,5906490.0,5449037.0,4473881.0,4191426.0,5410533.0,4383665.0
EHC,6361661000,NYSE,100231000.0,91400000.0,87700000.0,89400000.0,45400000.0,48700000.0,87500000.0,91600000.0,100000000.0,,,,,,,,,,,,,,,,,,,,,,,,
ELAN,4562180000,NYSE,492676000.0,-97000000.0,103000000.0,-54000000.0,-65000000.0,-10000000.0,51000000.0,-105000000.0,-108000000.0,86965309.0,89125964.0,124237801.0,131281661.0,128347334.0,191967019.0,132424566.0,209269188.0,126321956.0,144394304.0,130480967.0,167200428.0,142591015.0,168198770.0,158525589.0,67814442.0,98325810.0,119441736.0,65683684.0,98872618.0,122119083.0,85071989.0,70987802.0,81908127.0
ELS,12826440000,NYSE,186276000.0,66049000.0,86459000.0,87239000.0,70510000.0,64590000.0,87050000.0,79076000.0,74093000.0,22937673.0,24342365.0,24979927.0,63363411.0,20758629.0,14149560.0,17393260.0,20736297.0,13075434.0,16309901.0,17289043.0,15131268.0,27855219.0,20565846.0,15463312.0,21336965.0,22639756.0,21421499.0,17503997.0,20795025.0,15518734.0,19158988.0,16082828.0,12846102.0
EME,9219134000,NYSE,47135000.0,140595000.0,111473000.0,126300000.0,105772000.0,100664000.0,73386000.0,101668000.0,99740000.0,,,,,,,,,,,,,,,,,,,,,,,,
