Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
TTEK,8648686000,NASDAQ,53246000,60235000,83905000,74520000,87220000,81836000,51903000,45517000,52436000,4812700,7522730,7877824,5145405,7885401,5930903,4666869,5992074,5718841,5355312,5220168,5959120,5669538,5365034,6140681,5143549,14844290,7750109,6156729,5703578,8583551,6812237,7253237,4644836
TW,19352328000,NASDAQ,114645000,89082000,87856000,88946000,69083000,68344000,82965000,48890000,54763000,12669895,17392870,18613753,15700757,16008601,18044426,20470799,20852680,14647962,15406482,28149438,16255837,19715614,17149040,12006242,14783537,15892592,22621130,16673266,15034253,10801919,16260560,13402273,13678521
TWLO,10035693000,NYSE,181117000,-166187000,-342139000,-229422000,-482327000,-322769000,-221627000,-291396000,-224109000,,,,,,,,,,,,,,,,,,,,,,,,
TXG,4521767000,NASDAQ,103361000,-62414000,-50747000,-17215000,-41914000,-64458000,-42413000,-18449000,-17171000,12242220,19403986,23362435,16379972,20025376,22708132,13801989,20282981,19873858,24054811,26176341,32132401,23042418,24531238,26435899,36447625,29421277,46427208,22968437,22517022,30518033,26039013,14536547,17345512
TXRH,6373805000,NASDAQ,66748000,82271000,86387000,59869000,62328000,72419000,75202000,53058000,52606000,12984105,17653888,18314592,19961758,28150336,25997066,14231923,18032461,19227762,17562042,16737373,17162058,22275571,16394475,14789441,19671602,23271604,31267538,21245219,32535960,22554188,20172893,19762076,16315900
U,10748299000,NYSE,383457000,-192160000,-253031000,-289328000,-250021000,-204158000,-177555000,-161653000,-115152000,,,,,,,,,,,,,,,,,,,,,,,,
UA,3163014000,NYSE,222185000,8549000,170545000,121617000,86925000,7682000,-59610000,109657000,113444000,43129154,73318752,81999910,52407353,64157570,91238883,35580962,82438747,60759533,44145118,59811650,77920504,56266950,93792149,74016653,66032241,163423957,155770682,55496060,90543022,83149057,57009279,52785538,59931306
UAA,3169961000,NYSE,188705000,8549000,170545000,121617000,86925000,7682000,-59610000,109657000,113444000,,,,,,,,,,,,,,,,,,,,,,,,
UBER,88852251000,NYSE,2043520000,394000000,-157000000,595000000,-1206000000,-2601000000,-5930000000,892000000,-2424000000,233720153,330553365,484045855,420582280,482575452,658986111,362097852,483517493,656146852,369525048,416467654,545295434,546927911,559623745,715248594,469814733,702032527,968999629,495740107,786085482,739378199,576599671,685421227,637533556
UGI,4382301000,NYSE,209479000,-789000000,110000000,-954000000,244000000,-7000000,933000000,-97000000,525000000,29276088,50192268,76588396,49426578,43315347,52232704,23051080,31658169,22795615,21329190,24511315,33277874,28697858,23744974,20955029,26244492,26058931,33491632,35661882,61453366,34012982,23935398,25252412,24388836
