Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
MKSI,5292859000,NASDAQ,66863000.0,-1769000000.0,-42000000.0,54000000.0,6000000.0,130000000.0,143000000.0,150000000.0,132000000.0,7985850.0,10357994.0,13236451.0,12484521.0,14074452.0,16079029.0,8910267.0,13965558.0,13294450.0,14149745.0,17702528.0,20282211.0,12638428.0,14165988.0,13568877.0,10541144.0,12962475.0,10750948.0,16659289.0,12408862.0,9688384.0,10896035.0,8898469.0,9747030.0
RIVN,18299023000,NASDAQ,940311000.0,-1195000000.0,-1349000000.0,-1723000000.0,-1724000000.0,-1712000000.0,-1593000000.0,-2461000000.0,-1233000000.0,808077435.0,496721942.0,778331524.0,1746493137.0,709830951.0,522201675.0,408858093.0,937563194.0,431915900.0,618961048.0,370192562.0,268515798.0,339533905.0,438847461.0,341229338.0,314021335.0,334843612.0,616440701.0,300613681.0,477898064.0,342861212.0,377801314.0,284371118.0,
UGI,4382301000,NYSE,209479000.0,-789000000.0,110000000.0,-954000000.0,244000000.0,-7000000.0,933000000.0,-97000000.0,525000000.0,29276088.0,50192268.0,76588396.0,49426578.0,43315347.0,52232704.0,23051080.0,31658169.0,22795615.0,21329190.0,24511315.0,33277874.0,28697858.0,23744974.0,20955029.0,26244492.0,26058931.0,33491632.0,35661882.0,61453366.0,34012982.0,23935398.0,25252412.0,24388836.0
LCID,11778474000,NASDAQ,2282650000.0,-764232000.0,-779528000.0,-468188000.0,-530101000.0,-220425000.0,-81286000.0,-1065919000.0,-524403000.0,,,,,,,,,,,,,,,,,,,,,,,,
KBR,8067977000,NYSE,134916000.0,-351000000.0,86000000.0,93000000.0,74000000.0,94000000.0,-71000000.0,70000000.0,57000000.0,,,,,,,,,,,,,,,,,,,,,,,,
SPOT,29894447000,NYSE,194676000.0,-329550414.0,-225000000.0,-270000000.0,-166000000.0,-125000000.0,131000000.0,-39000000.0,2000000.0,20270531.0,28197154.0,38403123.0,58876890.0,32761189.0,31360430.0,31501745.0,34723554.0,42876750.0,47397039.0,34780696.0,35445721.0,54265995.0,28042012.0,26536009.0,42495167.0,47344277.0,52678942.0,53728123.0,43432068.0,65020353.0,39909240.0,26387236.0,30335348.0
PARAA,7870631000,NASDAQ,40703600.0,-299000000.0,-1118000000.0,21000000.0,231000000.0,419000000.0,433000000.0,2058000000.0,538000000.0,,,,,,,,,,,,,,,,,,,,,,,,
ROIV,7855314000,NASDAQ,779297000.0,-291816000.0,-33617000.0,-352014000.0,-291590000.0,-331809000.0,-270062000.0,-284536000.0,-208481000.0,79971202.0,144277513.0,75228270.0,109689338.0,132009074.0,59527842.0,55624113.0,78360476.0,49720272.0,52957122.0,51587497.0,32460364.0,28028929.0,16863247.0,19239232.0,18129957.0,23061124.0,19804652.0,9298794.0,10620119.0,4818174.0,6599017.0,32366421.0,8398066.0
RBLX,18817653000,NYSE,566684000.0,-282777000.0,-268313000.0,-289926000.0,-297798000.0,-176440000.0,-160202000.0,-143298000.0,-74002000.0,,,,,,,,,,,,,,,,,,,,,,,,
PTON,1731484000,NASDAQ,338990000.0,-241800000.0,-275900000.0,-335400000.0,-408500000.0,-1255300000.0,-757100000.0,-439400000.0,-376000000.0,,,,,,,,,,,,,,,,,,,,,,,,
