Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
STT,763000000,549000000,733000000,690000000,747000000,604000000,697000000,714000000,,,,,,,,,,,,,1999-12-31
STX,-92000000,-433000000,-33000000,29000000,276000000,346000000,501000000,526000000,,,,,,,,,,,,,2003-01-31
STZ,690000000,135900000,223000000,467700000,-1151200000,389500000,395400000,470800000,,,,,,,,,,,,,
SWK,177000000,-187800000,-45000000,844600000,87600000,175300000,328100000,414200000,,,,,,,,,,,,,1999-12-31
SWKS,195800000,232800000,309400000,302200000,267300000,305800000,399900000,326300000,,,,,,,,,,,,,1999-12-31
SYF,569000000,601000000,577000000,703000000,804000000,932000000,813000000,1141000000,,,,,,,,,,,,,
SYK,,,,,,,,,,,,,,,,,,,,,
SYY,733736000,429604000,141216000,465568000,509989000,303325000,167441000,378013000,,,,,,,,,,,,,1999-12-31
T,4489000000,4228000000,-23517000000,6026000000,4157000000,4810000000,5043000000,5918000000,,,,,,,,,,,,,1999-12-31
TAP,342400000,72500000,-590500000,216400000,47300000,151500000,80000000,453000000,,,,,,,,,,,,,
TDG,,,,,,,,,,,,,,,,,,,,,
TDY,185300000,178700000,226400000,178300000,171300000,212600000,161800000,134100000,,,,,,,,,,,,,1999-12-31
TECH,75484000,70218000,50005000,89555000,61524000,60739000,80173000,69615000,,,,,,,,,,,,,1999-12-31
TEL,528000000,433000000,397000000,708000000,594000000,560000000,566000000,794000000,,,,,,,,,,,,,
TER,120050000,83531000,172301000,183485000,197787000,161928000,224040000,256718000,,,,,,,,,,,,,1999-12-31
TFC,1309000000,1513000000,1681000000,1633000000,1531000000,1415000000,1602000000,1704000000,,,,,,,,,,,,,1999-12-31
TFX,111335000,76748000,78589000,101895000,105514000,77141000,128079000,199181000,,,,,,,,,,,,,
TGT,,,,,,,,,,,,,,,,,,,,,
TJX,989000000,891000000,1038381000,1062806000,810000000,587000000,940389000,1023000000,,,,,,,,,,,,,1999-12-31
TMO,1361000000,5338000000,-26000000,1664000000,-26000000,1658000000,1902000000,1828000000,,,,,,,,,,,,,1999-12-31
TMUS,2221000000,1940000000,1477000000,508000000,-108000000,713000000,422000000,691000000,,,,,,,,,,,,,
TPR,,,,,,,,,,,,,,,,,,,,,
TRGP,329300000,497000000,318000000,193100000,596400000,88000000,-313600000,182200000,,,,,,,,,,,,,2011-01-31
TRMB,44600000,128800000,85600000,85800000,168000000,110300000,115300000,124000000,,,,,,,,,,,,,1999-12-31
TROW,476400000,421500000,266000000,384400000,339600000,567900000,740600000,777200000,,,,,,,,,,,,,
TRV,,,,,,,,,,,,,,,,,,,,,
TSCO,421234000,183088000,270870000,234137000,396478000,187227000,221338000,224400000,,,,,,,,,,,,,1999-12-31
TSLA,2703000000,2513000000,3687000000,3292000000,2259000000,3318000000,2321000000,1618000000,,,,,,,,,,,,,2010-07-30
TSN,-417000000,-97000000,316000000,538000000,750000000,829000000,1121000000,1355000000,,,,,,,,,,,,,
TT,,,,,,,,,,,,,,,,,,,,,
TTWO,-206000000,-610300000,-153400000,-257000000,-104000000,110900000,144600000,10200000,,,,,,,,,,,,,1999-12-31
TXN,1722000000,1708000000,1962000000,2295000000,2291000000,2201000000,2138000000,1947000000,,,,,,,,,,,,,1999-12-31
TXT,263000000,191000000,226000000,225000000,217000000,193000000,207000000,185000000,,,,,,,,,,,,,
TYL,49130000,30875000,31077000,53233000,39946000,39984000,54782000,44170000,,,,,,,,,,,,,1999-12-31
UAL,1075000000,-194000000,843000000,942000000,329000000,-1377000000,-646000000,473000000,,,,,,,,,,,,,2006-03-31
UDR,347545000,30964000,44530000,23605000,5084000,13705000,117461000,17731000,,,,,,,,,,,,,
UHS,,,,,,,,,,,,,,,,,,,,,
ULTA,300102000,347051000,340751000,274585000,295677000,331395000,289366000,215289000,,,,,,,,,,,,,2007-11-30
UNH,5474000000,5611000000,4761000000,5262000000,5070000000,5027000000,4071000000,4086000000,,,,,,,,,,,,,1999-12-31
UNP,1569000000,1630000000,1638000000,1895000000,1835000000,1630000000,1711000000,1673000000,,,,,,,,,,,,,
UPS,,,,,,,,,,,,,,,,,,,,,
URI,591000000,451000000,639000000,606000000,493000000,367000000,481000000,409000000,,,,,,,,,,,,,1999-12-31
USB,1361000000,1698000000,925000000,1812000000,1531000000,1557000000,1673000000,2028000000,,,,,,,,,,,,,1999-12-31
V,4156000000,4257000000,4179000000,3940000000,3411000000,3647000000,3959000000,3584000000,,,,,,,,,,,,,
VFC,,,,,,,,,,,,,,,,,,,,,
VICI,690702000,518740000,604053000,330905000,-57706000,240383000,281479000,161862000,,,,,,,,,,,,,2017-11-30
VLO,1944000000,3067000000,3113000000,2817000000,4693000000,905000000,1009000000,463000000,,,,,,,,,,,,,1999-12-31
VLTO,,,,,,,,,,,,,,,,,,,,,
VMC,,,,,,,,,,,,,,,,,,,,,
VRSK,196900000,56300000,61100000,189400000,197700000,505700000,141900000,201700000,,,,,,,,,,,,,2009-11-30
VRSN,185700000,178700000,179500000,169500000,167300000,157500000,330130000,156600000,,,,,,,,,,,,,1999-12-31
VRTX,915700000,699800000,818900000,930500000,810500000,762100000,770100000,851900000,,,,,,,,,,,,,
VTR,103453000,17517000,-45019000,1256000,-42416000,38732000,-40854000,60680000,,,,,,,,,,,,,1999-12-31
VTRS,264000000,224700000,489900000,539600000,480800000,568300000,-263800000,311500000,,,,,,,,,,,,,2020-12-31
VZ,4648000000,4909000000,6577000000,4900000000,5199000000,4580000000,4613000000,6407000000,,,,,,,,,,,,,1999-12-31
WAB,191000000,169000000,158000000,160000000,166000000,149000000,190000000,131000000,,,,,,,,,,,,,
WAT,150554000,227062000,155998000,164864000,159831000,216239000,161185000,167292000,,,,,,,,,,,,,1999-12-31
WBA,-180000000,118000000,703000000,-3721000000,-415000000,289000000,883000000,3580000000,,,,,,,,,,,,,1999-12-31
WBD,-1240000000,-1069000000,-2101000000,-2308000000,-3418000000,456000000,38000000,156000000,,,,,,,,,,,,,
WDC,,,,,,,,,,,,,,,,,,,,,
WEC,290000000,507800000,253000000,302300000,287800000,566200000,224500000,290300000,,,,,,,,,,,,,1999-12-31
WELL,103040000,25673000,-3728000,-6767000,89784000,61925000,58672000,179663000,,,,,,,,,,,,,2001-02-28
WFC,4938000000,4991000000,2864000000,3528000000,3142000000,3788000000,5750000000,5122000000,,,,,,,,,,,,,
WHR,,,,,,,,,,,,,,,,,,,,,
