Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
CI,16592276,21730334,32011938,28926558,35254215,39060626,34265123,45089250,33320669,32503763,27781384,44641392,40481974,43952175,42894976,40602198,41188872,34775003,26362836,37619933,34578055,35339521,40053715,46169728
CINF,8676528,12559594,13542913,15198608,14772120,10886094,10941966,24857329,12815211,11107805,11224544,13044168,19844806,18041296,16621965,20788162,12179862,13291418,12510166,17790246,14904297,12630945,11780692,10913452
CL,64296240,72889334,81587075,104207458,101151966,129566607,98689144,101151455,72129429,104753612,69907674,74172400,97811523,103159554,97230255,80884257,96331529,108748185,133250969,121358234,89150708,110017763,101655537,75839226
CLX,28840223,29311594,29739960,21915141,22990873,31597564,19910587,25352931,26378339,23402074,17407114,29068928,23467080,19788016,22911527,23780219,31617745,32703480,26148012,29464974,38838822,29118429,26607344,27056280
CMA,26948011,45159824,35553999,59784626,66706643,122273191,68138214,144388013,28010893,30793389,31115015,30336111,38004200,27684650,16148512,22438989,25321072,30308367,34681563,37991103,21014410,30574448,29554476,18808165
CMCSA,223741393,379898019,352486393,372006642,368715771,458021643,334287099,442500732,352295914,421836143,529048305,500211522,623608169,646023123,486329825,451532269,507956099,555320779,457125575,471209060,449178780,505066874,540316520,331424230
CME,20825930,22967671,31713013,28090818,35416557,29285407,25812522,46829844,35646447,37814767,43719782,45786254,41134229,30342706,29236123,26120190,34272185,35508564,29493735,40558159,37145973,34651287,24301926,25834938
CMG,3033952,4421974,5232164,6780048,5393626,6315601,6811628,5678645,6401137,5575257,5473546,5741793,7965210,5452601,4477238,6117725,4737199,6272992,4661038,6340335,7131881,7389498,4543128,4463201
CMI,7741568,16528187,17952865,17508723,24067179,21129813,16245013,31579778,17557366,16079420,17371538,23957713,19351919,15478604,18228322,20240902,18220243,20949006,21230805,30557718,24846722,22314000,21301970,21517417
CMS,39255145,47504452,32700908,35561195,43639977,57208975,40015818,42853959,38735849,33738543,37386006,45813552,50696805,38923978,40247788,34299043,40321849,40567347,37891641,50036586,37808756,33808939,26762878,25361649
CNC,34320264,77827161,65372730,72426867,69193974,60525535,72170576,88850307,84567135,75484702,64722273,74601967,78745551,98201767,62559467,57382567,59091661,66640147,49736360,63005810,48316276,73211914,99271136,79037964
CNP,66822369,88268330,93076578,70503625,77916730,93000298,55260710,106862906,68179544,70864706,66719641,79407212,103712030,93651670,69817891,70149677,101094275,104332572,105913059,107482307,102194504,104081414,98680868,73892005
COF,27925444,40488080,45446864,53952101,54548325,86810512,52503224,84279588,53496557,80560312,67799444,54137031,57641752,56781778,50395542,51539497,63545623,55031281,55125823,76263773,49351482,65817741,57522235,59550843
COO,4767790,6510545,6224650,4577406,6523911,7418902,4093741,7700223,6022162,5440999,7414186,7655708,6543927,7227857,6095884,5732644,7596164,8755951,5245012,7737582,5027023,7944398,8010290,5649315
COP,66255889,98337640,92880739,97918923,116238404,140979251,113289480,163765004,155868441,97124730,125128160,147172934,152049990,160448573,147510177,142842672,200256573,167936914,135708737,233599283,172793270,176124909,151451473,176645441
COR,14418819,26956730,53799034,23201696,28221828,35227634,15917874,27110341,27550910,27453159,29411504,43924605,21385473,22770761,23178299,17294181,30571769,43445968,25527130,25402042,26624541,19238210,19897350,21099285
COST,23720101,33942850,32429328,36898722,35247990,43430222,33725488,48895306,31624150,40977723,54990841,40656894,44909971,49455119,42233425,46977046,54379810,80762146,49687916,59573742,41819651,57909087,60681934,42925380
CPB,40934766,69188135,58108634,43558607,69756234,50234700,34642100,56501135,44139258,50402985,59537087,48293872,46783210,63982461,36529515,46943407,66120804,58490224,36864146,59137825,48478384,64216053,63442537,39641884
CPRT,43958656,85473791,53776173,41604078,47437474,49523729,40026928,49806329,36235333,33986509,41324819,45546140,21670845,29223755,19242841,20307282,24243874,27848203,21471250,34551480,26007826,22930155,17767504,18380204
CPT,10487793,12527221,16356039,12809579,17773960,16372596,13264951,22308317,18065200,17176812,17396420,18721340,19634744,19091633,17301071,11170221,20177687,18714769,42511447,23126260,17722048,16937616,14823271,11849479
CRL,4638879,10688098,10600633,7901074,10062676,12715014,10234860,13117880,12862644,9610388,13964079,14642314,10676381,13422406,14344794,8206277,10628247,12223778,11409165,11941886,10986197,9759351,6837886,9633667
CRM,50099103,94511915,118565013,101137963,183530813,129715482,89677195,227464795,139360386,201955671,255577990,158889683,139821717,153974001,143638901,93369276,208204096,167465601,139568994,161284076,140976636,162371770,149752915,99123471
CSCO,181355732,337691211,428234741,383585699,362630796,448969695,349947842,426800658,388513182,327369868,376150505,424025172,414718420,408624700,429685267,368442162,491033981,645217925,383083928,498584499,419282627,480390842,471705076,509722580
CSGP,21044498,31902083,28628579,59980110,97686304,32652771,36489053,47525744,53977479,33913825,63510569,50546678,50762474,123267254,27530671,35662419,44157465,42650928,40155133,65478422,64303489,41675999,43103264,34254163
CSX,162727861,290214435,269010388,288520326,244238324,232351624,275297570,331600226,255868198,273130424,268542011,305752109,364771370,396997990,298196358,311868110,342662297,410361587,272826304,438823314,257904661,318288897,255998943,250224152
CTAS,5116491,8162353,7209315,10938640,7565148,7178286,6046739,8543523,6251934,7168192,7947026,8330700,8967438,10384413,7428346,9323489,11103623,11418637,8567114,12266430,9356529,13360674,11199864,6576296
CTLT,25423313,37023200,50071292,52316874,99219032,134594456,95906240,39368149,55555645,51123831,58276167,93625786,41485001,32224865,26657918,20174961,24537884,26327132,27709371,26294186,23154697,26345226,22285358,23465592
CTRA,76827463,113451281,132350900,115199988,160557592,168777906,120858410,252383547,176498480,154709658,228283328,230801290,135545817,167910303,161288368,164810444,290232375,219757942,175240529,316636882,167701225,169001232,165004428,176110982
