Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
TRV,-14000000,975000000,819000000,454000000,551000000,1018000000,1333000000,662000000,,,,,,,,,,,,,1999-12-31
VFC,-57425000,-214892000,507868000,-118432000,-55960000,80842000,517801000,464053000,,,,,,,,,,,,,1999-12-31
WDC,-715000000,-572000000,-446000000,27000000,301000000,25000000,564000000,610000000,,,,,,,,,,,,,1999-12-31
RTX,1327000000,1426000000,1422000000,1387000000,1304000000,1084000000,686000000,1393000000,,,,,,,,,,,,,
EQR,139203000,212035000,159020000,323025000,224101000,70765000,526974000,431951000,,,,,,,,,,,,,1999-12-31
NTAP,149000000,245000000,65000000,750000000,214000000,259000000,252000000,224000000,,,,,,,,,,,,,1999-12-31
ZION,175000000,204000000,284000000,217000000,203000000,203000000,213000000,240000000,,,,,,,,,,,,,1999-12-31
GOOGL,18368000000,15051000000,13624000000,13910000000,16002000000,16436000000,20642000000,18936000000,,,,,,,,,,,,,2004-09-30
UPS,2081000000,1895000000,3453000000,2584000000,2849000000,2662000000,3093000000,2329000000,,,,,,,,,,,,,1999-12-31
COP,2232000000,2920000000,3249000000,4527000000,5145000000,5759000000,2627000000,2379000000,,,,,,,,,,,,,
TPR,224100000,186700000,329900000,195300000,188800000,122700000,317900000,226900000,,,,,,,,,,,,,2000-11-30
WY,230000000,151000000,11000000,310000000,788000000,771000000,416000000,482000000,,,,,,,,,,,,,1999-12-31
TDG,351000000,304000000,228000000,266000000,238000000,199000000,163000000,209000000,,,,,,,,,,,,,2006-04-28
WRB,356308000,294126000,382223000,228879000,179322000,590638000,294430000,261297000,,,,,,,,,,,,,
HSY,406983000,587185000,396296000,399487000,315556000,533478000,335556000,444927000,,,,,,,,,,,,,
MNST,413871000,397444000,301674000,322387000,273360000,294203000,321314000,337205000,,,,,,,,,,,,,1999-12-31
TT,586200000,307100000,439100000,547900000,509300000,260200000,317800000,405700000,,,,,,,,,,,,,
AZO,647723000,476544000,539318000,810043000,592571000,471755000,555235000,785771000,,,,,,,,,,,,,1999-12-31
SYK,738000000,592000000,563000000,816000000,656000000,323000000,662000000,438000000,,,,,,,,,,,,,1999-12-31
TGT,835000000,950000000,876000000,712000000,183000000,1009000000,1544000000,1488000000,,,,,,,,,,,,,
WHR,85000000,-179000000,-1604000000,143000000,-371000000,313000000,298000000,471000000,,,,,,,,,,,,,1999-12-31
AMP,890000000,417000000,494000000,548000000,614000000,825000000,701000000,1031000000,,,,,,,,,,,,,2005-10-31
BF.B,,,,,,,,,,,,,,,,,,,,,
BRK.B,,,,,,,,,,,,,,,,,,,,,1999-12-31
DLTR,,,,,,,,,,,,,,,,,,,,,
JKHY,,,,,,,,,,,,,,,,,,,,,
SRE,,,,,,,,,,,,,,,,,,,,,
UHS,,,,,,,,,,,,,,,,,,,,,
VLTO,,,,,,,,,,,,,,,,,,,,,
VMC,,,,,,,,,,,,,,,,,,,,,
