Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
SEB,4034848000,NYSE MKT,1160800,52000000,-16000000,108000000,104000000,-28000000,94000000,176000000,179000000,23150,40386,23295,19989,23691,17904,17724,33901,14374,12671,15167,10459,13868,16739,12026,12674,19561,17892,15177,23130,17887,20540,19741,14553
NEU,4265965000,NYSE,9589200,99624000,97583000,90522000,63226000,66472000,59318000,17206000,52038000,348614,631864,769436,682050,799740,550744,684062,976644,924784,1176177,1118314,925774,931229,835430,939160,751405,677020,549439,609525,793521,768752,586849,1849118,687854
MKL,19622572000,NYSE,13264500,695511000,488652000,689710000,65369000,-915796000,-51741000,871129000,188070000,583691,838629,802991,533774,794371,672152,670885,1035646,799923,673000,646686,759467,991895,1065858,1151577,1209915,911612,1110915,1075983,1968336,910050,954118,965738,776764
TPL,15084633000,NYSE,7676600,100393000,86568000,99731000,129837000,118894000,97900000,79045000,83837000,597045,731548,713274,485306,612924,715517,700513,1402375,979381,588102,810394,954886,723300,699060,1105943,582228,662934,500549,511561,871911,487947,636890,618195,457427
FCNCA,19471976000,NASDAQ,13514800,682000000,9518000000,257000000,315000000,255000000,271000000,123000000,124000000,739271,1295286,1600873,1504129,2318466,4330362,3432764,7786041,1484979,1586807,1991283,1514232,3200976,2926169,2689492,1478721,1667219,2068916,2186488,3648084,1931753,5502498,1803768,1166994
CABO,3516118000,NYSE,5622100,55246000,57426000,-77210000,70607000,69245000,171476000,64835000,52255000,748312,991885,1276982,1305051,1600159,1183722,862221,1462177,1149472,1207185,1713544,3227418,1899047,1180277,1034722,923178,1099578,1455235,827116,791474,667821,903823,728973,580041
CACC,5365834000,NASDAQ,12822200,22200000,99500000,127300000,86800000,107400000,214300000,217600000,250000000,825737,1056728,1708911,1346763,1379895,1448271,1221499,1817846,2537502,3311028,2052408,2434725,1735894,1609869,1270424,1120101,1520987,2265525,1675444,2608027,1844762,1473687,2280709,2442703
LBRDA,13316710000,NASDAQ,18230200,252000000,69000000,178000000,315000000,465000000,299000000,387000000,237000000,1348086,1769849,2365205,2873288,2922037,3123347,2577457,3717558,2760731,3638442,5971081,4293924,5540411,7700124,5512794,5779995,7437889,8532087,4563072,5694317,2618967,4628106,5983122,3256502
CACI,7509271000,NYSE,22656500,107767000,100742000,87101000,89125000,92969000,95417000,90299000,88109000,1608055,3141720,3166381,2033230,3684294,3403128,2795733,3862285,2707686,3563777,2361839,2635824,2956646,2599621,3618762,2669568,2918568,3107912,2914983,4595956,3597878,2792675,3035976,1915003
MSA,5932471000,NYSE,39300900,67090000,-150173000,51489000,44906000,47693000,35542000,-61476000,21180000,1634946,2300654,3092742,3238491,4041232,2857708,1663103,2697330,1991222,2797484,2065185,2367152,2385729,1781480,1727534,1966861,2471922,4209119,2948769,1908782,1518271,1671472,1968392,1607852
SAM,4545073000,NYSE,10167700,58035000,-8956000,-11417000,27286000,53349000,-1955000,-51785000,-58421000,1671247,1868736,2222799,3689055,2291538,2568282,2330371,2859294,4150660,2526919,1929974,3007812,4441675,2446339,2579363,4434588,3679311,3250097,3258210,2988042,4176248,5702376,4904839,5572766
CNA,10921157000,NYSE,270862000,283000000,297000000,248000000,128000000,190000000,295000000,266000000,256000000,1912243,2803975,7737355,2945678,4558249,3564404,2677390,5473976,4864106,2667355,3890399,3426536,4832200,10254888,5075920,3145517,2806615,3218472,2745442,4438300,4050220,2580333,2313315,2668811
PRI,7320033000,NYSE,35766800,144504000,125106000,131840000,51807000,127956000,115039000,34868000,112456000,1957240,3033807,2920698,2179924,3521083,2509375,2349940,5377391,3510854,2190484,2417376,2578717,2658562,4009541,3233270,2493538,3360787,4283855,2872569,4200507,4922193,3354104,2650327,2506040
RLI,6136793000,NYSE,45596200,77652000,98811000,97834000,439893000,-2239000,47923000,95284000,29243000,1972852,3230627,3920173,4574477,9223994,4147448,5859580,5369596,3555143,3743353,3739648,4118795,3996655,2847270,2489941,3199945,3616143,4189106,3242971,3382645,2626683,2873627,2820883,2216243
AZPN,12206941000,NASDAQ,64383000,27316000,-57635000,-66197000,-11244000,53146000,-3280000,-760000,-11202000,2112951,4272644,4662738,3973948,5998266,5242781,4571844,5240864,3586146,3985171,4337804,7045209,4865388,4610426,3236394,2595784,5290346,7991406,7311472,11932283,6026013,7801967,5963598,6028851
RBC,6394085000,NYSE,29056100,50000000,49196000,36264000,43802000,37400000,31468000,546000,-1352000,2238735,9483409,3181374,2987117,8364332,3655660,2630682,4118371,3467610,3177152,2655133,2815483,2354446,3893090,3689208,2791999,3669562,2878842,2919007,2900882,3244289,3247836,2900688,3030974
LLYVA,None,NASDAQ,0,253000000,15000000,562000000,391000000,622000000,240000000,-231000000,328000000,2317033,3176984,,,,,,,,,,,,,,,,,,,,,,
FWONA,15824089000,NASDAQ,23974000,253000000,15000000,562000000,391000000,622000000,240000000,-231000000,328000000,2371311,3651030,3382906,2919752,2897004,1812471,1661936,9695357,3486855,2521446,2989153,4278893,3491990,3452644,4014747,2449728,3617632,4140435,2161963,3556548,2871849,3379771,3714417,4603225
CR,4768957000,NYSE,56773000,45600000,105700000,106700000,-59300000,280500000,105000000,72100000,116600000,2577882,3386787,4664404,7202540,7436397,8788945,11034033,,,,,,,,,,,,,,,,,
PEGA,3384031000,NASDAQ,83248000,-46804000,-20774000,34613000,-93520000,-286296000,-379000,-37246000,-56468000,2636562,4653059,5356314,7107752,5821473,6214443,5937043,6522997,8799594,7425809,7098224,9687431,7627263,10285177,12404201,10659995,10445514,18755139,8484254,11547991,11174721,8128378,7534628,6005226
CW,7787488000,NYSE,38305400,80999000,56846000,109023000,73768000,70872000,40685000,76579000,69703000,2696868,3286792,3493969,3134931,3472423,3164709,2345255,3324947,3657350,3835557,4048897,3984175,4526375,4423923,3637322,2613100,5001320,5554490,3846835,7317164,3254229,2975848,4599605,3327213
IPGP,4351133000,NASDAQ,47367000,62321000,60135000,-92895000,76264000,56968000,69572000,65087000,75402000,2815184,4440483,6651326,3981375,6385663,4918799,3270897,5449070,5655000,5347972,6043303,5210951,6218618,7580360,5931740,5553443,18844734,16288004,12214365,17940261,10430767,5089303,5212472,6562845
