Ticker,Price,Market Cap,Exchange,Outstanding Shares
A,N/A,32333791000,NYSE,292587000
AAL,N/A,7657403000,NASDAQ,653362000
AAPL,N/A,2796176802000,NASDAQ,15634200000
ABBV,N/A,261156815000,NYSE,1765050000
ABNB,N/A,79173460000,NASDAQ,426359000
ABT,N/A,157692166000,NYSE,1735360000
ACGL,N/A,31387808000,NASDAQ,372954000
ACN,N/A,189851058000,NYSE,629000000
ADBE,N/A,249850429000,NASDAQ,455300000
ADI,N/A,85246575000,NASDAQ,498314000
ADM,N/A,39306998000,NYSE,536102000
ADP,N/A,101963071000,NASDAQ,411972000
ADSK,N/A,44777144000,NASDAQ,213764000
AEE,N/A,20481362000,NYSE,262750000
AEP,N/A,38365155000,NASDAQ,515176000
AES,N/A,8812318000,NYSE,669629000
AFL,N/A,47673475000,NYSE,594062000
AIG,N/A,43489972000,NYSE,711900000
AIZ,N/A,7854253000,NYSE,53023000
AJG,N/A,50402546000,NYSE,215506000
AKAM,N/A,16174122000,NASDAQ,151713000
ALB,N/A,19172153000,NYSE,117347000
ALGN,N/A,20357198000,NASDAQ,76534000
ALK,N/A,4207298000,NYSE,127224000
ALL,N/A,31472583000,NYSE,261574000
ALLE,N/A,9083475000,NYSE,87780000
AMAT,N/A,118068412000,NASDAQ,836534000
AMCR,N/A,12598492000,NYSE,1446440000
AMD,N/A,169790751000,NASDAQ,1615670000
AME,N/A,34293031000,NYSE,230712000
AMGN,N/A,151965368000,NASDAQ,534901000
AMP,N/A,33344215000,NYSE,102626000
AMT,N/A,77829407000,NYSE,466156000
AMZN,N/A,1339147289000,NASDAQ,10317800000
ANET,N/A,58773955000,NYSE,309581000
ANSS,N/A,25441077000,NASDAQ,86791000
AON,N/A,66154934000,NYSE,202867000
AOS,N/A,10573498000,NYSE,124590000
APA,N/A,12674681000,NASDAQ,307265000
APD,N/A,63414649000,NYSE,222149000
APH,N/A,48849584000,NYSE,596454000
APTV,N/A,26856966000,NYSE,282824000
ARE,N/A,17109008000,NYSE,173028000
ATO,N/A,16624775000,NYSE,148462000
AVB,N/A,25054462000,NYSE,142016000
AVGO,N/A,364519293000,NASDAQ,412735000
AVY,N/A,14721672000,NYSE,80583000
AWK,N/A,22978728000,NYSE,194669000
AXON,N/A,16105547000,NASDAQ,74760000
AXP,N/A,111278957000,NYSE,736459000
AZO,N/A,45583565000,NYSE,17857000
BA,N/A,111538446000,NYSE,603204000
BAC,N/A,212644872000,NYSE,7946370000
BALL,N/A,13887801000,NYSE,315059000
BAX,N/A,16123935000,NYSE,506405000
BBWI,N/A,6866906000,NYSE,227381000
BBY,N/A,15123664000,NYSE,217638000
BDX,N/A,75051196000,NYSE,290109000
BEN,N/A,11301851000,NYSE,498978000
BF.B,N/A,N/A,N/A,N/A
BG,N/A,15391093000,NYSE,150642000
BIIB,N/A,37981282000,NASDAQ,144823000
BIO,N/A,10075837000,NYSE,24004000
BK,N/A,32070244000,NYSE,778782000
BKNG,N/A,105294848000,NASDAQ,35692200
BKR,N/A,35430248000,NASDAQ,1009650000
BLK,N/A,93711524000,NYSE,149303000
BMY,N/A,117971485000,NYSE,2089100000
BR,N/A,20898898000,NYSE,117621000
BRK.B,N/A,N/A,N/A,N/A
BRO,N/A,19770661000,NYSE,283613000
BSX,N/A,72508178000,NYSE,1464220000
BWA,N/A,9226235000,NYSE,235063000
BX,N/A,126294499000,NYSE,709750000
BXP,N/A,8696594000,NYSE,156865000
C,N/A,79781749000,NYSE,1925700000
CAG,N/A,13177577000,NYSE,477968000
CAH,N/A,22965121000,NYSE,246354000
CARR,N/A,44025729000,NYSE,837628000
CAT,N/A,138349740000,NYSE,516346000
CB,N/A,86640443000,NYSE,410735000
CBOE,N/A,17102196000,BATS,105517000
CBRE,N/A,22137926000,NYSE,309838000
CCI,N/A,41000014000,NYSE,433679000
CCL,N/A,16014748000,NYSE,1119450000
CDAY,N/A,11303728000,NYSE,155613000
