Ticker,Price,Market Cap,Exchange,Outstanding Shares
A,,32333791000.0,NYSE,292587000.0
AAL,,7657403000.0,NASDAQ,653362000.0
AAPL,,2796176802000.0,NASDAQ,15634200000.0
ABBV,,261156815000.0,NYSE,1765050000.0
ABNB,,79173460000.0,NASDAQ,426359000.0
ABT,,157692166000.0,NYSE,1735360000.0
ACGL,,31387808000.0,NASDAQ,372954000.0
ACN,,189851058000.0,NYSE,629000000.0
ADBE,,249850429000.0,NASDAQ,455300000.0
ADI,,85246575000.0,NASDAQ,498314000.0
ADM,,39306998000.0,NYSE,536102000.0
ADP,,101963071000.0,NASDAQ,411972000.0
ADSK,,44777144000.0,NASDAQ,213764000.0
AEE,,20481362000.0,NYSE,262750000.0
AEP,,38365155000.0,NASDAQ,515176000.0
AES,,8812318000.0,NYSE,669629000.0
AFL,,47673475000.0,NYSE,594062000.0
AIG,,43489972000.0,NYSE,711900000.0
AIZ,,7854253000.0,NYSE,53023000.0
AJG,,50402546000.0,NYSE,215506000.0
AKAM,,16174122000.0,NASDAQ,151713000.0
ALB,,19172153000.0,NYSE,117347000.0
ALGN,,20357198000.0,NASDAQ,76534000.0
ALK,,4207298000.0,NYSE,127224000.0
ALL,,31472583000.0,NYSE,261574000.0
ALLE,,9083475000.0,NYSE,87780000.0
AMAT,,118068412000.0,NASDAQ,836534000.0
AMCR,,12598492000.0,NYSE,1446440000.0
AMD,,169790751000.0,NASDAQ,1615670000.0
AME,,34293031000.0,NYSE,230712000.0
AMGN,,151965368000.0,NASDAQ,534901000.0
AMP,,33344215000.0,NYSE,102626000.0
AMT,,77829407000.0,NYSE,466156000.0
AMZN,,1339147289000.0,NASDAQ,10317800000.0
ANET,,58773955000.0,NYSE,309581000.0
ANSS,,25441077000.0,NASDAQ,86791000.0
AON,,66154934000.0,NYSE,202867000.0
AOS,,10573498000.0,NYSE,124590000.0
APA,,12674681000.0,NASDAQ,307265000.0
APD,,63414649000.0,NYSE,222149000.0
APH,,48849584000.0,NYSE,596454000.0
APTV,,26856966000.0,NYSE,282824000.0
ARE,,17109008000.0,NYSE,173028000.0
ATO,,16624775000.0,NYSE,148462000.0
AVB,,25054462000.0,NYSE,142016000.0
AVGO,,364519293000.0,NASDAQ,412735000.0
AVY,,14721672000.0,NYSE,80583000.0
AWK,,22978728000.0,NYSE,194669000.0
AXON,,16105547000.0,NASDAQ,74760000.0
AXP,,111278957000.0,NYSE,736459000.0
AZO,,45583565000.0,NYSE,17857000.0
BA,,111538446000.0,NYSE,603204000.0
BAC,,212644872000.0,NYSE,7946370000.0
BALL,,13887801000.0,NYSE,315059000.0
BAX,,16123935000.0,NYSE,506405000.0
BBWI,,6866906000.0,NYSE,227381000.0
BBY,,15123664000.0,NYSE,217638000.0
BDX,,75051196000.0,NYSE,290109000.0
BEN,,11301851000.0,NYSE,498978000.0
BF.B,,,,
BG,,15391093000.0,NYSE,150642000.0
BIIB,,37981282000.0,NASDAQ,144823000.0
BIO,,10075837000.0,NYSE,24004000.0
BK,,32070244000.0,NYSE,778782000.0
BKNG,,105294848000.0,NASDAQ,35692200.0
BKR,,35430248000.0,NASDAQ,1009650000.0
BLK,,93711524000.0,NYSE,149303000.0
BMY,,117971485000.0,NYSE,2089100000.0
BR,,20898898000.0,NYSE,117621000.0
BRK.B,,,,
BRO,,19770661000.0,NYSE,283613000.0
BSX,,72508178000.0,NYSE,1464220000.0
BWA,,9226235000.0,NYSE,235063000.0
BX,,126294499000.0,NYSE,709750000.0
BXP,,8696594000.0,NYSE,156865000.0
C,,79781749000.0,NYSE,1925700000.0
CAG,,13177577000.0,NYSE,477968000.0
CAH,,22965121000.0,NYSE,246354000.0
CARR,,44025729000.0,NYSE,837628000.0
CAT,,138349740000.0,NYSE,516346000.0
CB,,86640443000.0,NYSE,410735000.0
CBOE,,17102196000.0,BATS,105517000.0
CBRE,,22137926000.0,NYSE,309838000.0
CCI,,41000014000.0,NYSE,433679000.0
CCL,,16014748000.0,NYSE,1119450000.0
CDAY,,11303728000.0,NYSE,155613000.0
CDNS,,68333445000.0,NASDAQ,271790000.0
CDW,,27991904000.0,NASDAQ,134048000.0
CE,,13111223000.0,NYSE,108852000.0
CEG,,36561797000.0,NASDAQ,321592000.0
CF,,16269375000.0,NYSE,192948000.0
CFG,,12520515000.0,NYSE,472294000.0
CHD,,21883421000.0,NYSE,246047000.0
CHRW,,9983958000.0,NASDAQ,116431000.0
CHTR,,68017992000.0,NASDAQ,149671000.0
CI,,92384240000.0,NYSE,295980000.0
CINF,,16171854000.0,NASDAQ,156856000.0
CL,,59645825000.0,NYSE,826692000.0
CLX,,15495165000.0,NYSE,124001000.0
CMA,,5501690000.0,NYSE,131777000.0
CMCSA,,182536995000.0,NASDAQ,4115690000.0
