Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
OGN,242000000,177000000,108000000,227000000,234000000,348000000,202000000,323000000,,,,,,,,,,,,,2021-06-30
OKE,468000000,1049000000,484921000,431751000,414378000,391171000,379373000,392018000,,,,,,,,,,,,,1999-12-31
OMC,366300000,227500000,429800000,364500000,348400000,173800000,416200000,355600000,,,,,,,,,,,,,
ON,576600000,461700000,604300000,311900000,455800000,530200000,425900000,309700000,,,,,,,,,,,,,2000-06-30
ORCL,2420000000,3319000000,1896000000,1741000000,1548000000,3189000000,2319000000,-1247000000,,,,,,,,,,,,,1999-12-31
ORLY,627365000,516885000,528572000,585438000,576760000,481880000,518973000,558652000,,,,,,,,,,,,,
OTIS,,,,,,,,,,,,,,,,,,,,,
OXY,860000000,1263000000,1927000000,2746000000,3755000000,4876000000,1537000000,828000000,,,,,,,,,,,,,1999-12-31
PANW,227700000,107800000,84200000,20000000,3300000,-73200000,-93500000,-103600000,,,,,,,,,,,,,2012-08-31
PARA,-299000000,-1118000000,21000000,231000000,419000000,433000000,2058000000,538000000,,,,,,,,,,,,,
PAYC,,,,,,,,,,,,,,,,,,,,,
PAYX,419200000,350400000,467400000,360300000,379200000,296400000,430700000,332100000,,,,,,,,,,,,,1999-12-31
PCAR,1221100000,733900000,921300000,769400000,720400000,600500000,518700000,380500000,,,,,,,,,,,,,1999-12-31
PCG,410000000,572000000,517000000,459000000,360000000,478000000,476000000,-1088000000,,,,,,,,,,,,,
PEAK,51899000,118952000,6528000,353970000,68338000,71613000,28761000,54711000,,,,,,,,,,,,,1999-12-31
PEG,591000000,1287000000,788000000,114000000,131000000,-2000000,445000000,-1564000000,,,,,,,,,,,,,1999-12-31
PEP,3092000000,2748000000,1932000000,518000000,2702000000,1429000000,4261000000,1322000000,,,,,,,,,,,,,
PFE,,,,,,,,,,,,,,,,,,,,,
PFG,388800000,-140100000,-9500000,1385500000,3118700000,338700000,471800000,359900000,,,,,,,,,,,,,2001-11-30
PG,3384000000,3397000000,3933000000,3939000000,3052000000,3355000000,4223000000,4112000000,,,,,,,,,,,,,1999-12-31
PGR,345400000,447900000,826400000,124100000,-542900000,313900000,962300000,118500000,,,,,,,,,,,,,
PH,,,,,,,,,,,,,,,,,,,,,
PHM,720345000,532259000,882231000,627928000,652435000,454723000,663265000,475549000,,,,,,,,,,,,,1999-12-31
PKG,202700000,190100000,211600000,262500000,301500000,254200000,216500000,250700000,,,,,,,,,,,,,2000-02-29
PLD,1216028000,464623000,587214000,1015464000,611393000,1150785000,1248662000,723538000,,,,,,,,,,,,,
PM,,,,,,,,,,,,,,,,,,,,,
PNC,1483000000,1677000000,1600000000,1624000000,1481000000,1408000000,1344000000,1474000000,,,,,,,,,,,,,1999-12-31
PNR,152900000,129700000,95000000,115400000,152900000,117600000,148700000,143600000,,,,,,,,,,,,,1999-12-31
PNW,106663000,-3297000,-23992000,326326000,164312000,16956000,27584000,339798000,,,,,,,,,,,,,
PODD,27300000,23800000,17000000,-5200000,-35000000,27800000,29200000,12600000,,,,,,,,,,,,,2007-06-29
POOL,232250000,101699000,71863000,190055000,307283000,179261000,107609000,184665000,,,,,,,,,,,,,1999-12-31
PPG,490000000,264000000,238000000,329000000,441000000,18000000,286000000,344000000,,,,,,,,,,,,,
PPL,,,,,,,,,,,,,,,,,,,,,
PRU,511000000,1462000000,-558000000,-284000000,-1010000000,-493000000,1208000000,1530000000,,,,,,,,,,,,,2002-01-31
PSA,578029000,517708000,412360000,2768994000,653850000,513943000,619710000,490091000,,,,,,,,,,,,,1999-12-31
PSX,1697000000,1961000000,1884000000,5391000000,3167000000,582000000,1273000000,402000000,,,,,,,,,,,,,
PTC,,,,,,,,,,,,,,,,,,,,,
PWR,165899000,95046000,162572000,155956000,88020000,84641000,104797000,174365000,,,,,,,,,,,,,1999-12-31
PXD,1102000000,1222000000,1481000000,1984000000,2371000000,2009000000,763000000,1045000000,,,,,,,,,,,,,1999-12-31
PYPL,1029000000,795000000,921000000,1330000000,-341000000,509000000,801000000,1087000000,,,,,,,,,,,,,
QCOM,,,,,,,,,,,,,,,,,,,,,
QRVO,-43580000,-138416000,-15931000,188615000,68884000,212275000,216263000,319189000,,,,,,,,,,,,,2015-02-27
RCL,458761000,-47910000,-500206000,32968000,-521582000,-1167142000,-1356968000,-1424554000,,,,,,,,,,,,,1999-12-31
REG,86782000,97281000,95263000,87578000,104796000,195228000,67859000,117406000,,,,,,,,,,,,,
REGN,968400000,817800000,1197100000,1315700000,852100000,973500000,2229000000,1632200000,,,,,,,,,,,,,1999-12-31
RF,581000000,612000000,685000000,429000000,583000000,548000000,438000000,651000000,,,,,,,,,,,,,1999-12-31
RHI,106292000,122005000,147653000,166206000,175821000,168239000,167944000,170871000,,,,,,,,,,,,,1999-12-31
RJF,369000000,427000000,509000000,439000000,301000000,323000000,446000000,429000000,,,,,,,,,,,,,
RL,132100000,32300000,216500000,150500000,123400000,24400000,217700000,193300000,,,,,,,,,,,,,1999-12-31
RMD,229664000,232500000,224914000,210478000,195061000,179012000,201751000,203613000,,,,,,,,,,,,,1999-12-31
ROK,400200000,300300000,384000000,338900000,297900000,53900000,241500000,78500000,,,,,,,,,,,,,
ROL,,,,,,,,,,,,,,,,,,,,,
ROP,364900000,283100000,1928400000,327000000,268800000,2020500000,287800000,289500000,,,,,,,,,,,,,1999-12-31
ROST,446319000,371191000,447043000,342036000,384517000,338445000,366822000,385030000,,,,,,,,,,,,,1999-12-31
RSG,427400000,383900000,346786000,416900000,371900000,352000000,313105000,350300000,,,,,,,,,,,,,
RTX,,,,,,,,,,,,,,,,,,,,,
RVTY,35559000,569475000,127658000,85347000,179212000,176962000,190184000,127738000,,,,,,,,,,,,,1999-12-31
SBAC,203648000,101217000,103281000,100009000,69516000,188623000,48902000,47798000,,,,,,,,,,,,,1999-12-31
SBUX,1141700000,908300000,855200000,878300000,912900000,674500000,815900000,1764400000,,,,,,,,,,,,,
SCHW,1294000000,1603000000,1968000000,2020000000,1793000000,1402000000,1580000000,1526000000,,,,,,,,,,,,,1999-12-31
SEDG,119510000,138378000,20829000,24743000,15084000,33123000,40954000,53048000,,,,,,,,,,,,,2015-04-30
SEE,99100000,61900000,94300000,134200000,113900000,149200000,180900000,107700000,,,,,,,,,,,,,
SHW,,,,,,,,,,,,,,,,,,,,,
SJM,183600000,-600700000,208500000,191100000,109800000,202100000,69700000,206000000,,,,,,,,,,,,,1999-12-31
