Ticker,Price,Market Cap,Exchange,Outstanding Shares
QCOM,N/A,123329159000,NASDAQ,1116000000
QRVO,N/A,9029297000,NASDAQ,97910000
RCL,N/A,22210198000,NYSE,256173000
REG,N/A,10855365000,NASDAQ,181057000
REGN,N/A,91586879000,NASDAQ,106741000
RF,N/A,15520757000,NYSE,938377000
RHI,N/A,8177852000,NYSE,107082000
RJF,N/A,21191199000,NYSE,208842000
RL,N/A,7299055000,NYSE,40388000
RMD,N/A,20774285000,NYSE,147085000
ROK,N/A,33513851000,NYSE,114860000
ROL,N/A,17640493000,NYSE,484097000
ROP,N/A,53559316000,NASDAQ,106711000
ROST,N/A,39413379000,NASDAQ,338632000
RSG,N/A,46889005000,NYSE,316326000
RTX,N/A,106616111000,NYSE,1455510000
RVTY,N/A,13139689000,NYSE,124135000
SBAC,N/A,21990910000,NASDAQ,108383000
SBUX,N/A,107266720000,NASDAQ,1145400000
SCHW,N/A,97830035000,NYSE,1770220000
SEDG,N/A,6990544000,NASDAQ,56558000
SEE,N/A,4345650000,NYSE,145000000
SHW,N/A,64896688000,NYSE,257149000
SJM,N/A,11572512000,NYSE,102131000
SLB,N/A,84489748000,NYSE,1421190000
SNA,N/A,13607477000,NYSE,52916000
SNPS,N/A,74819240000,NASDAQ,152084000
SO,N/A,73612124000,NYSE,1090550000
SPG,N/A,40559620000,NYSE,327191000
SPGI,N/A,116951228000,NYSE,318200000
SRE,N/A,44624163000,NYSE,629307000
STE,N/A,22130985000,NYSE,98781000
STLD,N/A,17346241000,NASDAQ,165644000
STT,N/A,20902783000,NYSE,318640000
STX,N/A,14331119000,NASDAQ,207848000
STZ,N/A,43127636000,NYSE,183663000
SWK,N/A,12612361000,NYSE,153230000
SWKS,N/A,15276223000,NASDAQ,159393000
SYF,N/A,12399127000,NYSE,418183000
SYK,N/A,100295565000,NYSE,379778000
SYY,N/A,32517237000,NYSE,504926000
T,N/A,103017095000,NYSE,7149000000
TAP,N/A,12823093000,NYSE,200960000
TDG,N/A,47673315000,NYSE,55183000
TDY,N/A,19267633000,NYSE,47074600
TECH,N/A,10852099000,NASDAQ,158240000
TEL,N/A,39016342000,NYSE,313939000
TER,N/A,14939358000,NASDAQ,154014000
TFC,N/A,37841551000,NYSE,1331980000
TFX,N/A,8983499000,NYSE,46992200
TGT,N/A,51418182000,NYSE,461605000
TJX,N/A,102601097000,NYSE,1144080000
TMO,N/A,188552020000,NYSE,385950000
TMUS,N/A,168516141000,NASDAQ,1176460000
TPR,N/A,6491225000,NYSE,229129000
TRGP,N/A,19670997000,NYSE,223712000
TRMB,N/A,12589925000,NASDAQ,248322000
TROW,N/A,22880334000,NASDAQ,224295000
TRV,N/A,38382125000,NYSE,228942000
TSCO,N/A,22378541000,NASDAQ,108808000
TSLA,N/A,805939511000,NASDAQ,3173990000
TSN,N/A,16842877000,NYSE,285550000
TT,N/A,46750786000,NYSE,228398000
TTWO,N/A,24386034000,NASDAQ,169831000
TXN,N/A,140099158000,NASDAQ,907966000
TXT,N/A,15701088000,NYSE,198071000
