Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,OldestDataDate,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
A,32333791000,NYSE,292587000,111000000,302000000,352000000,368000000,329000000,274000000,283000000,442000000.0,1999-12-31,24222731.0,39803880.0,41877144.0,38313231.0,51249306.0,46200248.0,27776452.0,38086236.0,23987443.0,25394910.0,25282580.0,30724422.0,27011517.0,31677201.0,32008351.0,27261533.0,35110239.0,45545913.0,43886365.0,46185679.0,42302498.0,39870604.0,33692805.0,34250114.0
AAL,7657403000,NASDAQ,653362000,1338000000,10000000,803000000,483000000,476000000,-1635000000,-932000000,169000000.0,2005-10-31,557101273.0,538515882.0,515476902.0,492058234.0,460292691.0,522062132.0,580286790.0,474784238.0,377980711.0,678415652.0,524327932.0,524132362.0,804739031.0,689131564.0,577808248.0,741058078.0,800216334.0,674669988.0,765714081.0,1206625706.0,761530947.0,812871530.0,900427965.0,714353794.0
AAPL,2796176802000,NASDAQ,15634200000,19881000000,24160000000,29998000000,20721000000,19442000000,25010000000,34630000000,20551000000.0,1999-12-31,667243826.0,1337873796.0,1323817340.0,996368613.0,1297863403.0,1275052503.0,967580718.0,1520461315.0,1307294493.0,1443652725.0,1675731304.0,1724948219.0,1868381344.0,2083968147.0,1509735435.0,1447364668.0,1749297959.0,2400305601.0,1683547838.0,2171827429.0,1628570227.0,2106513962.0,2443227128.0,1688864233.0
ABBV,261156815000,NYSE,1765050000,2024000000,239000000,2473000000,3949000000,924000000,4490000000,4044000000,3179000000.0,2013-02-28,53207156.0,85059957.0,89768321.0,119863991.0,135189166.0,120201771.0,98825274.0,153989811.0,119527203.0,119769796.0,102509521.0,113847877.0,114547120.0,125265425.0,109508278.0,116519638.0,132594299.0,143481531.0,178745398.0,150829420.0,164140888.0,168301644.0,149689413.0,110962762.0
ABNB,79173460000,NASDAQ,426359000,650000000,117000000,318663000,1214288000,379000000,-19000000,54535000,833893000.0,,63608763.0,208485658.0,108585952.0,104767910.0,120963450.0,187447041.0,97111201.0,111132717.0,163767205.0,105781865.0,117913042.0,159631558.0,105821779.0,123813078.0,148999823.0,115460410.0,169944463.0,205905262.0,83596791.0,125456828.0,146524079.0,114583159.0,132225519.0,170888359.0
ABT,157692166000,NYSE,1735360000,1375000000,1318000000,1033000000,1435000000,2018000000,2447000000,1989000000,2100000000.0,,85596625.0,88119374.0,96272816.0,97309644.0,108478371.0,92167260.0,111377496.0,129265751.0,88645888.0,102768575.0,91861934.0,108138274.0,154042503.0,116664191.0,89964247.0,93493374.0,112197375.0,125784844.0,102178750.0,123048180.0,109459518.0,155493899.0,118005637.0,111098101.0
ACGL,31387808000,NASDAQ,372954000,671000000,715000000,859688000,17101000,404000000,196000000,623265000,419942000.0,1999-12-31,21939370.0,30741338.0,35756277.0,49599413.0,39159316.0,41880434.0,35599130.0,60010839.0,41796389.0,28816170.0,39366849.0,59350611.0,146318154.0,32320714.0,25378877.0,41345335.0,34773374.0,40799988.0,45658562.0,47007580.0,35603258.0,33516541.0,30263403.0,43915451.0
ACN,189851058000,NYSE,629000000,1372963000,2009996000,1523648000,1964950000,1665128000,1786075000,1634942000,1791024000.0,2001-08-31,24228834.0,43344188.0,35908709.0,36728568.0,62202789.0,61120868.0,43227073.0,69748350.0,35008005.0,45062330.0,50442560.0,39823017.0,46328631.0,50837956.0,36923164.0,39738878.0,51681159.0,50751674.0,44778003.0,62746411.0,47911095.0,63404123.0,53138810.0,45456164.0
ADBE,249850429000,NASDAQ,455300000,1403000000,1295000000,1247000000,1176000000,1136000000,1178000000,1266000000,1233000000.0,,32507410.0,62947945.0,51215704.0,61177763.0,108631767.0,86339131.0,39063767.0,82835372.0,57467866.0,48870544.0,65104635.0,70791369.0,82414691.0,124365104.0,51808560.0,46398257.0,71842535.0,72472571.0,54888813.0,97989293.0,70180319.0,83986681.0,84141150.0,43238099.0
ADI,85246575000,NASDAQ,498314000,877019000,977656000,961474000,936226000,748985000,783273000,280077000,75687000.0,,38290759.0,63243451.0,78505220.0,64033659.0,77550854.0,85190613.0,50912459.0,79637776.0,74564678.0,62930911.0,60618786.0,84535470.0,82368287.0,68935267.0,74135488.0,64357286.0,72063351.0,77539276.0,74642371.0,85859378.0,76951432.0,86104239.0,74055522.0,62053024.0
ADM,39306998000,NYSE,536102000,927000000,1170000000,1019000000,1031000000,1236000000,1054000000,782000000,526000000.0,1999-12-31,25205777.0,62612811.0,55140654.0,56775799.0,59417688.0,63838388.0,48686564.0,68027829.0,64760295.0,77796341.0,55168164.0,50156720.0,58095203.0,62551768.0,50926335.0,55791497.0,80456134.0,81822330.0,82605682.0,113209202.0,52824278.0,70274996.0,46724438.0,55928341.0
ADP,101963071000,NASDAQ,411972000,776700000,1043100000,813100000,779000000,625500000,928500000,694400000,700500000.0,1999-12-31,16140240.0,28358009.0,29235339.0,37112887.0,34598093.0,39559261.0,32865777.0,50593337.0,36086640.0,43199149.0,33467746.0,34261880.0,37580517.0,42372814.0,29649713.0,30947302.0,34519397.0,41288407.0,39860143.0,46604741.0,36698757.0,44025930.0,32115331.0,29423268.0
ADSK,44777144000,NASDAQ,213764000,222000000,161000000,293000000,198000000,186000000,146000000,89000000,137000000.0,,13312846.0,25037113.0,31431606.0,30263716.0,33694327.0,32231346.0,23708558.0,35381311.0,29513637.0,23640389.0,28201256.0,45082094.0,28424684.0,30124363.0,30431100.0,28477766.0,35545887.0,48822812.0,29884088.0,44464487.0,39018213.0,35555835.0,34091739.0,38965435.0
AEE,20481362000,NYSE,262750000,237000000,264000000,163000000,452000000,207000000,252000000,125000000,425000000.0,1999-12-31,26130579.0,27165719.0,27693878.0,26513688.0,28220617.0,30104355.0,21263842.0,29908032.0,28741129.0,30230524.0,23441930.0,32021426.0,30431288.0,28142812.0,29318216.0,23053151.0,36892843.0,30515980.0,23345303.0,31780983.0,22343702.0,28269030.0,27209199.0,21449070.0
AEP,38365155000,NASDAQ,515176000,516100000,397000000,384300000,683700000,520800000,718100000,538900000,796000000.0,1999-12-31,56319303.0,55692502.0,66606851.0,67319607.0,71588074.0,56496491.0,44762240.0,73721685.0,53957594.0,54521656.0,65663798.0,71774908.0,71048117.0,60805401.0,50016730.0,51471104.0,62270178.0,59242271.0,54239782.0,75111068.0,67364624.0,65661665.0,59305860.0,54452999.0
AES,8812318000,NYSE,669629000,-39000000,151000000,-903000000,421000000,-179000000,115000000,-632000000,343000000.0,,167243215.0,146768198.0,125307351.0,83865724.0,164116799.0,137186576.0,78814349.0,105412425.0,80169880.0,96737032.0,65795890.0,87220572.0,94760630.0,122615190.0,107370603.0,99329786.0,130106583.0,117958445.0,116736994.0,142134016.0,119632623.0,117740007.0,96712876.0,99457999.0
AFL,47673475000,NYSE,594062000,1634000000,1188000000,185000000,1596000000,1394000000,1047000000,1039000000,888000000.0,,30076816.0,46347352.0,51869401.0,40174814.0,49139814.0,50341403.0,44742476.0,64641688.0,44639604.0,61073173.0,52099910.0,63286937.0,50583612.0,62192468.0,52846973.0,43577215.0,52647633.0,65044347.0,52993025.0,60491212.0,69270630.0,75561443.0,63265327.0,64645081.0
AIG,43489972000,NYSE,711900000,1493000000,30000000,271000000,2709000000,2754000000,4173000000,3746000000,1667000000.0,1999-12-31,38489502.0,59680895.0,62696499.0,64124303.0,88380596.0,92714739.0,71421662.0,166336294.0,95366823.0,75739553.0,103412347.0,99452343.0,93509668.0,113020753.0,88027688.0,80583708.0,126723543.0,124166575.0,80124862.0,114827899.0,101751375.0,110570352.0,101825399.0,99202237.0
AIZ,7854253000,NYSE,53023000,156300000,113600000,68100000,7300000,52200000,149000000,120900000,879800000.0,2004-03-31,3657518.0,6862739.0,7550568.0,6655975.0,9472139.0,8926197.0,7426364.0,11480609.0,7890308.0,7580423.0,10440849.0,15075325.0,10513081.0,8216814.0,10202410.0,7194385.0,10946944.0,11613322.0,7389097.0,9006955.0,11292905.0,11727319.0,9238055.0,7420415.0
AJG,50402546000,NYSE,215506000,234500000,486500000,135500000,255800000,284200000,438700000,109400000,225100000.0,,8504092.0,15930059.0,14633371.0,14439307.0,19333631.0,19763293.0,17909954.0,26581258.0,15150520.0,14119615.0,14512774.0,19375475.0,20769248.0,22807742.0,19182059.0,13832023.0,19031532.0,19973672.0,20159543.0,21965211.0,17764996.0,23004484.0,19286956.0,18758958.0
AKAM,16174122000,NASDAQ,151713000,128816000,97106000,128762000,123694000,137840000,133376000,160534000,178916000.0,,16292322.0,41992197.0,42762201.0,21939338.0,30342848.0,35383285.0,23984332.0,43698759.0,38557782.0,23695566.0,28712007.0,34998118.0,33014322.0,31949991.0,30439091.0,34042792.0,34128815.0,52730525.0,24191089.0,37168572.0,36383151.0,27779370.0,25166547.0,34688173.0
ALB,19172153000,NYSE,117347000,650043000,1238580000,1132445000,897215000,406773000,253383000,-3824000,-392781000.0,1999-12-31,32286704.0,36261790.0,41443943.0,34566874.0,37539088.0,53544451.0,53727715.0,39581835.0,34809000.0,30229666.0,29848118.0,32466142.0,30239136.0,28807509.0,30740169.0,20026168.0,32254003.0,35088206.0,18156982.0,22387457.0,28151415.0,20747768.0,23130438.0,24364902.0
ALGN,20357198000,NASDAQ,76534000,111814000,87798000,41775000,72700000,112800000,134298000,190961000,180969000.0,2001-02-28,9149649.0,12786579.0,11722529.0,19574338.0,13780621.0,15301261.0,14945770.0,22279207.0,23923418.0,19861356.0,20341385.0,22632091.0,23843246.0,19460007.0,15675854.0,18987387.0,24996272.0,25625419.0,19186780.0,19684669.0,17490685.0,20096475.0,11370278.0,11002346.0
ALK,4207298000,NYSE,127224000,240000000,-142000000,22000000,40000000,139000000,-143000000,18000000,194000000.0,,31177791.0,38489611.0,33907779.0,43653688.0,29628973.0,30042020.0,38249019.0,42850641.0,21463794.0,30931856.0,29201651.0,24735231.0,34900618.0,33718614.0,27569398.0,33096894.0,39478667.0,38508136.0,41832640.0,56163791.0,38269672.0,40681160.0,42859955.0,38646044.0
ALL,31472583000,NYSE,261574000,-1352000000,-320000000,-284000000,-668000000,-1013000000,660000000,817000000,538000000.0,,21807089.0,35185735.0,34814421.0,37097044.0,43172511.0,43304082.0,32417015.0,54984796.0,32609075.0,33080776.0,30557868.0,33295293.0,49735401.0,38335490.0,36227999.0,40043250.0,36219055.0,39748576.0,34370596.0,51868121.0,56711970.0,45140106.0,44705188.0,55359153.0
ALLE,9083475000,NYSE,87780000,142000000,123500000,135300000,114600000,115100000,93000000,112800000,143500000.0,2013-12-31,6981872.0,13327350.0,17807226.0,17208676.0,17353760.0,13637681.0,19225595.0,20265296.0,15562806.0,11052002.0,11265969.0,14069899.0,16603447.0,19145167.0,14311191.0,12128431.0,17119445.0,15018674.0,16783738.0,16090584.0,17976076.0,13396191.0,11939162.0,11975412.0
AMAT,118068412000,NASDAQ,836534000,1560000000,1575000000,1717000000,1591000000,1606000000,1536000000,1792000000,1712000000.0,1999-12-31,69992823.0,109704009.0,118645698.0,127151975.0,116841988.0,133483678.0,111415728.0,160485505.0,130322556.0,117570971.0,128013759.0,176525283.0,212183579.0,147536174.0,160510544.0,135497660.0,167028326.0,178596582.0,172756957.0,165798230.0,160778153.0,203367300.0,147624969.0,160189211.0
AMCR,12598492000,NYSE,1446440000,180000000,177000000,459000000,232000000,109000000,269000000,225000000,202000000.0,,93396798.0,138541126.0,165690306.0,137354296.0,161174653.0,184732340.0,143456479.0,176673702.0,184078629.0,143241385.0,144959550.0,167626159.0,166058828.0,154490645.0,202087738.0,192005035.0,207840793.0,326528336.0,165198729.0,189333042.0,188709918.0,142815360.0,144283307.0,125690564.0
AMD,169790751000,NASDAQ,1615670000,27000000,-139000000,21000000,66000000,447000000,786000000,974000000,923000000.0,1999-12-31,665138903.0,1044530220.0,1573690096.0,1142100773.0,1543262982.0,1762795163.0,894895972.0,1656333033.0,1145873205.0,1081467156.0,1149724787.0,1681597389.0,1961654845.0,1676527449.0,1800209702.0,1633449957.0,2031197788.0,2897833067.0,1717398548.0,2458597564.0,2293240492.0,1637852102.0,1175268948.0,1371740461.0
AME,34293031000,NYSE,230712000,324242000,305712000,307081000,297641000,282373000,272447000,281681000,257460000.0,1999-12-31,10449670.0,22608473.0,17243493.0,17961613.0,19945675.0,21667119.0,20144777.0,23889265.0,20852922.0,18954135.0,17896252.0,21753786.0,25789502.0,21635098.0,21011269.0,18132672.0,23355499.0,26874399.0,21070367.0,23840986.0,20786237.0,19354307.0,18077712.0,21858956.0
