Ticker,Q9_NetIncome,Q10_NetIncome,Q11_NetIncome,Q12_NetIncome,Q13_NetIncome,Q14_NetIncome,Q15_NetIncome,Q16_NetIncome
A,264000000,216000000,288000000,222000000,199000000,101000000,197000000,194000000
AA,309000000,175000000,-4000000,-49000000,-197000000,80000000,-303000000,-221000000
AAL,169000000,19000000,-1250000000,-2178000000,-2399000000,-2067000000,-2241000000,414000000
AAP,178696000,185930000,111996000,147476000,189960000,68202000,95907000,123669000
AAPL,21744000000,23630000000,28755000000,12673000000,11253000000,11249000000,22236000000,13686000000
ABBV,766000000,3553000000,36000000,2308000000,-738000000,3010000000,2801000000,1884000000
ABNB,-68217000,-1172211000,-3888135000,219328000,-575588000,-340605000,,
ABT,1189000000,1793000000,2162000000,1232000000,537000000,564000000,1049000000,960000000
ACGL,675486000,438156000,543544000,419039000,298821000,144117000,326384000,392453000
ACHC,44514000,9717000,-783672000,36998000,41079000,33463000,-11254000,42566000
ACI,295200000,444800000,-144200000,123700000,284500000,586200000,67800000,54800000
ACM,11500000,39400000,26100000,-230300000,89400000,-86100000,40600000,-474200000
ACN,1416248000,1549426000,1440859000,1500276000,1287929000,1228202000,1234740000,1356968000
ADBE,1212000000,1116000000,1261000000,2250000000,955000000,1100000000,955000000,852000000
ADC,22347000,30112000,23615000,21280000,25258000,21229000,22559000,20611000
ADI,503311000,422905000,388519000,386526000,362665000,267696000,203874000,277694000
ADM,712000000,689000000,687000000,225000000,469000000,391000000,504000000,407000000
ADP,538200000,810700000,647500000,602100000,411500000,820900000,651600000,582400000
ADSK,115000000,156000000,911300000,132200000,98200000,66500000,131800000,66700000
ADT,-125850000,-47894000,-112061000,-113098000,-106741000,-300293000,-71993000,-181630000
AEE,207000000,233000000,115000000,367000000,243000000,146000000,95000000,364000000
AEP,578200000,575000000,435500000,748600000,520800000,495200000,152700000,733500000
AES,28000000,-148000000,318000000,-333000000,-83000000,144000000,-78000000,210000000
AFG,1002000000,419000000,692000000,164000000,177000000,-301000000,211000000,147000000
AFL,1105000000,1293000000,952000000,2456000000,805000000,566000000,781000000,777000000
AFRM,-123420000,-287051000,-26610000,-3946000,34813000,-85620000,-30996000,-30795000
AGCO,282800000,150800000,135400000,157300000,69700000,64700000,-88300000,7600000
AGCO,150800000,135400000,157300000,69700000,64700000,-88300000,7600000,282800000
AGL,-298845000,-15078000,-24215000,-11827000,-7911000,-16099000,,
AGL,-15078000,-24215000,-11827000,-7911000,-16099000,,,-298845000
AGNC,-411000000,975000000,129000000,662000000,718000000,-2421000000,871000000,-4000000
AGNC,975000000,129000000,662000000,718000000,-2421000000,871000000,-4000000,-411000000
AGO,98000000,11000000,148000000,86000000,183000000,-55000000,137000000,69000000
AGO,11000000,148000000,86000000,183000000,-55000000,137000000,69000000,98000000
AGR,98000000,334000000,166000000,87000000,88000000,240000000,223000000,150000000
