Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume,Underaged,Market Cap Category,Yearly_NetIncome,Profitable,Avg_Volume_1_6,Volume_Category,Avg Monthly Volume,Avg Quarterly Income,Volume to Income Ratio,Avg Monthly Income,Market Cap to Avg Monthly Income Ratio,in_index
A,32333791000,NYSE,292587000,111000000,302000000,352000000,368000000,329000000,274000000,283000000,442000000.0,24222731.0,39803880.0,41877144.0,38313231.0,51249306.0,46200248.0,27776452.0,38086236.0,23987443.0,25394910.0,25282580.0,30724422.0,27011517.0,31677201.0,32008351.0,27261533.0,35110239.0,45545913.0,43886365.0,46185679.0,42302498.0,39870604.0,33692805.0,34250114.0,0,14.6B-50B,1133000000,Profitable,40277756.666666664,Good Volume,40277756.666666664,283250000.0,7.0324174790601965,102541666.66666667,315.3234392523364,1
AAL,7657403000,NASDAQ,653362000,1338000000,10000000,803000000,483000000,476000000,-1635000000,-932000000,169000000.0,557101273.0,538515882.0,515476902.0,492058234.0,460292691.0,522062132.0,580286790.0,474784238.0,377980711.0,678415652.0,524327932.0,524132362.0,804739031.0,689131564.0,577808248.0,741058078.0,800216334.0,674669988.0,765714081.0,1206625706.0,761530947.0,812871530.0,900427965.0,714353794.0,0,0-14.6B,2634000000,Profitable,514251185.6666667,Good Volume,514251185.6666667,658500000.0,1.280502638309587,29666666.666666668,258.11470786516855,1
AAPL,2796176802000,NASDAQ,15634200000,19881000000,24160000000,29998000000,20721000000,19442000000,25010000000,34630000000,20551000000.0,667243826.0,1337873796.0,1323817340.0,996368613.0,1297863403.0,1275052503.0,967580718.0,1520461315.0,1307294493.0,1443652725.0,1675731304.0,1724948219.0,1868381344.0,2083968147.0,1509735435.0,1447364668.0,1749297959.0,2400305601.0,1683547838.0,2171827429.0,1628570227.0,2106513962.0,2443227128.0,1688864233.0,0,1T+,94760000000,Profitable,1149703246.8333333,Good Volume,1149703246.8333333,23690000000.0,20.605317124440738,8099708333.333333,345.2194433338649,1
ABBV,261156815000,NYSE,1765050000,2024000000,239000000,2473000000,3949000000,924000000,4490000000,4044000000,3179000000.0,53207156.0,85059957.0,89768321.0,119863991.0,135189166.0,120201771.0,98825274.0,153989811.0,119527203.0,119769796.0,102509521.0,113847877.0,114547120.0,125265425.0,109508278.0,116519638.0,132594299.0,143481531.0,178745398.0,150829420.0,164140888.0,168301644.0,149689413.0,110962762.0,0,100B-500B,8685000000,Profitable,100548393.66666667,Good Volume,100548393.66666667,2171250000.0,21.594079435998015,888416666.6666666,293.9575818403527,1
ABNB,79173460000,NASDAQ,426359000,650000000,117000000,318663000,1214288000,379000000,-19000000,54535000,833893000.0,63608763.0,208485658.0,108585952.0,104767910.0,120963450.0,187447041.0,97111201.0,111132717.0,163767205.0,105781865.0,117913042.0,159631558.0,105821779.0,123813078.0,148999823.0,115460410.0,169944463.0,205905262.0,83596791.0,125456828.0,146524079.0,114583159.0,132225519.0,170888359.0,0,50B-100B,2299951000,Profitable,132309795.66666667,Good Volume,132309795.66666667,574987750.0,4.345768558577397,147849125.0,535.5017150084587,1
ABT,157692166000,NYSE,1735360000,1375000000,1318000000,1033000000,1435000000,2018000000,2447000000,1989000000,2100000000.0,85596625.0,88119374.0,96272816.0,97309644.0,108478371.0,92167260.0,111377496.0,129265751.0,88645888.0,102768575.0,91861934.0,108138274.0,154042503.0,116664191.0,89964247.0,93493374.0,112197375.0,125784844.0,102178750.0,123048180.0,109459518.0,155493899.0,118005637.0,111098101.0,0,100B-500B,5161000000,Profitable,94657348.33333333,Good Volume,94657348.33333333,1290250000.0,13.630743124732577,571458333.3333334,275.9469182646737,1
ACGL,31387808000,NASDAQ,372954000,671000000,715000000,859688000,17101000,404000000,196000000,623265000,419942000.0,21939370.0,30741338.0,35756277.0,49599413.0,39159316.0,41880434.0,35599130.0,60010839.0,41796389.0,28816170.0,39366849.0,59350611.0,146318154.0,32320714.0,25378877.0,41345335.0,34773374.0,40799988.0,45658562.0,47007580.0,35603258.0,33516541.0,30263403.0,43915451.0,0,14.6B-50B,2262789000,Profitable,36512691.333333336,Good Volume,36512691.333333336,565697250.0,15.493167699844712,162749833.33333334,192.8592328307556,1
ACN,189851058000,NYSE,629000000,1372963000,2009996000,1523648000,1964950000,1665128000,1786075000,1634942000,1791024000.0,24228834.0,43344188.0,35908709.0,36728568.0,62202789.0,61120868.0,43227073.0,69748350.0,35008005.0,45062330.0,50442560.0,39823017.0,46328631.0,50837956.0,36923164.0,39738878.0,51681159.0,50751674.0,44778003.0,62746411.0,47911095.0,63404123.0,53138810.0,45456164.0,0,100B-500B,6871557000,Profitable,43922326.0,Good Volume,43922326.0,1717889250.0,39.111982594000146,572863583.3333334,331.40709851952823,1
ADBE,249850429000,NASDAQ,455300000,1403000000,1295000000,1247000000,1176000000,1136000000,1178000000,1266000000,1233000000.0,32507410.0,62947945.0,51215704.0,61177763.0,108631767.0,86339131.0,39063767.0,82835372.0,57467866.0,48870544.0,65104635.0,70791369.0,82414691.0,124365104.0,51808560.0,46398257.0,71842535.0,72472571.0,54888813.0,97989293.0,70180319.0,83986681.0,84141150.0,43238099.0,0,100B-500B,5121000000,Profitable,67136620.0,Good Volume,67136620.0,1280250000.0,19.06932461002654,413916666.6666667,603.6249542983692,1
ADI,85246575000,NASDAQ,498314000,877019000,977656000,961474000,936226000,748985000,783273000,280077000,75687000.0,38290759.0,63243451.0,78505220.0,64033659.0,77550854.0,85190613.0,50912459.0,79637776.0,74564678.0,62930911.0,60618786.0,84535470.0,82368287.0,68935267.0,74135488.0,64357286.0,72063351.0,77539276.0,74642371.0,85859378.0,76951432.0,86104239.0,74055522.0,62053024.0,0,50B-100B,3752375000,Profitable,67802426.0,Good Volume,67802426.0,938093750.0,13.835695938077496,235016541.66666666,362.7258506803688,1
