Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
BLK,1366000000,1157000000,1259000000,1406000000,1077000000,1436000000,1643000000,1681000000,,,,,,,,,,,,,1999-12-31
BMY,2073000000,2262000000,2022000000,1606000000,1421000000,1278000000,2372000000,1546000000,,,,,,,,,,,,,1999-12-31
BR,324100000,198500000,57500000,50400000,248100000,176600000,47200000,67200000,,,,,,,,,,,,,
BRK.B,,,,,,,,,,,,,,,,,,,,,1999-12-31
BRO,190400000,235500000,145200000,161100000,145200000,220300000,101700000,146400000,,,,,,,,,,,,,1999-12-31
BSX,270000000,314000000,194000000,188000000,260000000,110000000,95000000,419000000,,,,,,,,,,,,,
BWA,,,,,,,,,,,,,,,,,,,,,
BX,601274000,85812000,557854000,2296000,-29393000,1216874000,1398478000,1401895000,,,,,,,,,,,,,2007-07-31
BXP,104299000,77890000,121803000,360977000,222989000,143047000,184543000,108297000,,,,,,,,,,,,,1999-12-31
C,2915000000,4606000000,2513000000,3479000000,4547000000,4306000000,3173000000,4644000000,,,,,,,,,,,,,
CAG,,,,,,,,,,,,,,,,,,,,,
CAH,-64000000,345000000,-130000000,110000000,138000000,-1391000000,49000000,271000000,,,,,,,,,,,,,1999-12-31
CARR,199000000,373000000,270000000,1312000000,573000000,1379000000,324000000,469000000,,,,,,,,,,,,,2020-04-30
CAT,2922000000,1943000000,1454000000,2041000000,1673000000,1537000000,2120000000,1426000000,,,,,,,,,,,,,
CB,1793000000,1892000000,1312000000,812000000,1190000000,1953000000,2141000000,1833000000,,,,,,,,,,,,,1999-12-31
CBOE,167800000,173400000,159700000,150200000,-184500000,109600000,165900000,120400000,,,,,,,,,,,,,2010-07-30
CBRE,201403000,116892000,81112000,446639000,487322000,392297000,691992000,435743000,,,,,,,,,,,,,
CCI,,,,,,,,,,,,,,,,,,,,,
CCL,1074000000,-407000000,-693000000,-1598000000,-770000000,-1834000000,-1891000000,-2620000000,,,,,,,,,,,,,1999-12-31
CDAY,3100000,9900000,-5200000,-21000000,-19800000,-27400000,-9500000,-20900000,,,,,,,,,,,,,2018-05-31
CDNS,221120000,241804000,240392000,186305000,186920000,235335000,176579000,176307000,,,,,,,,,,,,,
CDW,,,,,,,,,,,,,,,,,,,,,
CE,220000000,91000000,767000000,191000000,434000000,502000000,524000000,506000000,,,,,,,,,,,,,2005-02-28
CEG,833000000,96000000,34000000,-188000000,-111000000,106000000,42000000,607000000,,,,,,,,,,,,,2022-03-31
CF,527000000,560000000,-8000000,438000000,1165000000,883000000,-52000000,-185000000,,,,,,,,,,,,,
CFG,478000000,511000000,653000000,636000000,364000000,420000000,530000000,530000000,,,,,,,,,,,,,2014-10-31
CHD,221200000,203200000,-164700000,187100000,187100000,204400000,158100000,230400000,,,,,,,,,,,,,1999-12-31
CHRW,97316000,114891000,96193000,225798000,348185000,270348000,230098000,247053000,,,,,,,,,,,,,1999-12-31
CHTR,,,,,,,,,,,,,,,,,,,,,
CI,1460000000,1267000000,1169000000,2757000000,1559000000,1183000000,-336000000,1621000000,,,,,,,,,,,,,1999-12-31
CINF,534000000,225000000,1013000000,-418000000,-818000000,-266000000,1470000000,153000000,,,,,,,,,,,,,1999-12-31
CL,502000000,372000000,5000000,618000000,603000000,559000000,148000000,634000000,,,,,,,,,,,,,
CLX,,,,,,,,,,,,,,,,,,,,,
CMA,273000000,324000000,350000000,351000000,261000000,189000000,228000000,262000000,,,,,,,,,,,,,1999-12-31
CMCSA,4248000000,3834000000,3023000000,-4598000000,3396000000,3549000000,3057000000,4035000000,,,,,,,,,,,,,1999-12-31
CME,777600000,883800000,637900000,679600000,662500000,711000000,625200000,926500000,,,,,,,,,,,,,
CMG,341790000,291644000,223727000,257138000,259942000,158294000,133475000,204434000,,,,,,,,,,,,,2006-02-28
CMI,720000000,790000000,631000000,400000000,702000000,418000000,394000000,534000000,,,,,,,,,,,,,1999-12-31
CMS,198000000,204000000,171000000,165000000,148000000,353000000,639000000,189000000,,,,,,,,,,,,,
CNC,,,,,,,,,,,,,,,,,,,,,
CNP,118000000,325000000,134000000,202000000,190000000,531000000,654000000,218000000,,,,,,,,,,,,,1999-12-31
COF,1431000000,960000000,1232000000,1694000000,2031000000,2403000000,2425000000,3104000000,,,,,,,,,,,,,1999-12-31
COO,85300000,39800000,84600000,65600000,98400000,126600000,95300000,110300000,,,,,,,,,,,,,
COP,,,,,,,,,,,,,,,,,,,,,
COR,479581000,435402000,479745000,294737000,406964000,548014000,449105000,437698000,,,,,,,,,,,,,1999-12-31
COST,2160000000,1302000000,1466000000,1364000000,1868000000,1353000000,1299000000,1324000000,,,,,,,,,,,,,1999-12-31
CPB,169000000,160000000,232000000,297000000,96000000,188000000,212000000,261000000,,,,,,,,,,,,,
CPRT,,,,,,,,,,,,,,,,,,,,,1999-12-31
