Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
DT,13811025000,NYSE,293290000,38188000,80293000,15026000,10526000,2114000,929000,14587000,23641000,19851441,47150426,64350572,47736090,64698229,77608136,37106396,47639229,85792099,37976513,36009638,50733877,45389304,100334003,44018375,43782242,58465591,101804368,52107690,60209704,71265148,59470974,45661933,46311222
DTM,5360635000,NYSE,96902000,91000000,81000000,85000000,113000000,91000000,81000000,87000000,74000000,,,,,,,,,,,,,,,,,,,,,,,,
DV,4544992000,NYSE,167403000,12839000,12175000,18068000,10331000,10290000,4579000,28308000,7924000,12687510,38397522,54628673,23430763,29486973,34854778,17817533,41277225,19825455,42438518,13269922,32729064,27234313,27709687,21721757,11062059,15311570,20541617,9986989,20590978,13201393,17596450,29186799,23094663
DXC,4222481000,NYSE,205174000,36000000,-756000000,59000000,27000000,102000000,530000000,98000000,-188000000,84252393,55240250,71658588,29372629,42104938,46685990,26888709,43561970,32985290,26952905,33326979,41546102,57810012,98059261,45133867,21376293,36965882,51309805,33632519,60477546,43089619,30917405,44008034,37219617
EEFT,3821283000,NASDAQ,49659300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EGP,7216609000,NYSE,45398900,43450000,44690000,38671000,37792000,46139000,63580000,71889000,30771000,3057189,5213691,5904105,6316829,7343007,4965277,4152127,5722815,4369716,4491839,5194262,4529202,7700284,6348412,4280424,4243272,12448624,7957374,5906490,5449037,4473881,4191426,5410533,4383665
EHC,6361661000,NYSE,100231000,91400000,87700000,89400000,45400000,48700000,87500000,91600000,100000000,,,,,,,,,,,,,,,,,,,,,,,,
ELAN,4562180000,NYSE,492676000,-97000000,103000000,-54000000,-65000000,-10000000,51000000,-105000000,-108000000,86965309,89125964,124237801,131281661,128347334,191967019,132424566,209269188,126321956,144394304,130480967,167200428,142591015,168198770,158525589,67814442,98325810,119441736,65683684,98872618,122119083,85071989,70987802,81908127
ELS,12826440000,NYSE,186276000,66049000,86459000,87239000,70510000,64590000,87050000,79076000,74093000,22937673,24342365,24979927,63363411,20758629,14149560,17393260,20736297,13075434,16309901,17289043,15131268,27855219,20565846,15463312,21336965,22639756,21421499,17503997,20795025,15518734,19158988,16082828,12846102
EME,9219134000,NYSE,47135000,140595000,111473000,126300000,105772000,100664000,73386000,101668000,99740000,,,,,,,,,,,,,,,,,,,,,,,,
ENOV,2606452000,NYSE,54540000,-9995000,-23350000,-38603000,-66612000,76855000,15068000,-1907000,25848000,7969360,7970517,8657812,6324834,7957313,11526068,6639923,12248309,5869634,7074934,6197548,8827942,10082724,11218471,7446597,6622103,9130688,8223641,20870675,31529888,27094559,25088865,26525930,23511581
ENTG,14270810000,NASDAQ,150108000,197646000,-88166000,57427000,-73703000,99491000,125705000,118219000,117461000,,,,,,,,,,,,,,,,,,,,,,,,
EPR,3098093000,NYSE,75324000,13600000,57657000,42329000,50799000,40909000,42192000,44557000,32117000,7574804,11330068,12306821,16433064,11084330,8552915,11177305,13444585,8448121,11838598,12690424,8157898,9919057,17068162,14062884,6684461,11091234,11937404,9384474,12820562,16076584,11388246,13350730,10721362
EQH,9552153000,NYSE,347351000,759000000,177000000,-789000000,273000000,967000000,530000000,254000000,672000000,31907616,41029561,47603030,47849960,67475706,92748866,52247035,94125185,44602154,39437069,56157181,59646643,45857625,53629962,56175502,46466891,62595593,74953480,51396232,80721037,75759525,66771424,56309676,59383533
ESAB,4218158000,NYSE,60259000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESI,4457924000,NYSE,241491000,29900000,42900000,12700000,53200000,65200000,56100000,3900000,36000000,12833081,25227166,32109458,29414684,30514994,28529522,20054489,23130526,33487073,20135752,19980180,30831645,28498015,27058595,21983089,28562753,28022094,23039355,26220213,36836293,24746023,21740044,28169629,36210375
ESTC,7772157000,NYSE,98419000,-48508000,-46731000,-72574000,-47305000,-69551000,-65610000,-56726000,-47023000,,,,,,,,,,,,,,,,,,,,,,,,
EVR,4960206000,NYSE,37890200,37205000,83378000,140439000,82438000,95627000,158016000,295860000,159545000,3277027,6592395,5355137,8370571,10687038,7088460,7618315,10829802,10688822,9137049,7431511,8188639,10016567,11309913,7818983,8480292,8268041,9598580,9382266,9544005,13311570,8350434,9562123,8194892
EWBC,7495822000,NASDAQ,141484000,312031000,322439000,336763000,295339000,258329000,237652000,217796000,225449000,13592910,16769681,17139450,22800860,22772598,39559985,29087882,57214200,14346251,19144986,18676800,19413617,18273036,16037664,13052291,14548180,19984253,20139637,20523995,27323440,20791297,23030671,16114166,13913342
EXAS,11643858000,NASDAQ,180665000,-81026000,-74151000,-127745000,-148761000,-166063000,-180937000,-220611000,-166938000,,,,,,,,,,,,,,,,,,,,,,,,
EXEL,6797433000,NASDAQ,318381000,81178000,40028000,-30173000,73210000,70672000,68573000,95166000,38204000,27687185,44621414,56684077,39364234,62389947,52641062,48103686,89420717,53529639,60245586,44595412,39728261,60048654,43887253,50054533,41218939,59675517,78014242,34371054,44718599,48280443,44831640,41496500,45432510
EXP,5575580000,NYSE,35432000,120849000,100356000,117184000,138995000,105005000,74316000,102479000,102125000,,,,,,,,,,,,,,,,,,,,,,,,
FAF,5342947000,NYSE,103086000,138500000,45900000,54000000,2000000,108800000,97900000,260000000,445000000,7849641,10422469,9006982,12081452,11479673,10917709,10949618,20285130,13187539,13216038,13050967,11248938,13765699,16469221,9066488,13115115,17636746,14999113,20721703,19254912,15045595,15946337,10655033,10967979
FBIN,7675839000,NYSE,126891000,102100000,109600000,204200000,192000000,180900000,175300000,202100000,217200000,14853834,21629851,21387314,22668929,21460174,23611528,20130498,29136511,20618548,20788537,62629425,26681083,31636996,28002123,23383323,22692251,26664088,33464376,39824030,32640324,24446629,16383675,19071615,15552819
FCN,6455037000,NYSE,34029400,62395000,47547000,47498000,77267000,51428000,59321000,38208000,69480000,,,,,,,,,,,,,,,,,,,,,,,,
FCNCA,19471976000,NASDAQ,13514800,682000000,9518000000,257000000,315000000,255000000,271000000,123000000,124000000,739271,1295286,1600873,1504129,2318466,4330362,3432764,7786041,1484979,1586807,1991283,1514232,3200976,2926169,2689492,1478721,1667219,2068916,2186488,3648084,1931753,5502498,1803768,1166994
FERG,34196148000,NYSE,203864000,584000000,336000000,374000000,595000000,580000000,546000000,436000000,560000000,,,,,,,,,,,,,,,,,,,,,,,,
FHB,2289324000,NASDAQ,127610000,62442000,66818000,79588000,69018000,59360000,57719000,57022000,64279000,9732988,20905754,15869861,19908877,17906895,27206573,17269068,27974406,8157203,10916846,13182747,8124394,13306840,12990440,11829628,12882923,16940242,14512501,14671389,13281852,10132252,14152875,13135100,8794710
FHN,6251875000,NYSE,558702000,325000000,251000000,266000000,265000000,174000000,195000000,227000000,232000000,121366406,130411038,120909052,181072964,236790172,461292630,89738368,343451832,60005040,84904537,100561850,147536521,105822136,81343668,53358853,55579686,94093539,108576475,122931474,302360904,197285884,120347662,95330433,68292389
FIVE,9855255000,NASDAQ,55686000,46835000,37478000,171320000,16146000,41344000,32718000,140196000,24177000,,,,,,,,,,,,,,,,,,,,,,,,
FIVN,4476441000,NASDAQ,72212000,-21739000,-27248000,-13653000,-23207000,-23670000,-34120000,-3601000,-20537000,9724917,18429853,26173662,18921995,26145918,45810534,18790284,31554679,29998136,22870748,26044175,42178578,35800196,20959249,18713182,19323564,17766465,25702698,22900137,28742709,27562628,26795606,25615061,33778568
FLO,4408135000,NYSE,211320000,63760000,70710000,48597000,40528000,53680000,85589000,39322000,38852000,,,,,,,,,,,,,,,,,,,,,,,,
FLS,4878276000,NYSE,131207000,51203000,26766000,121330000,38400000,44777000,-15820000,16700000,49785000,13451091,25215219,20584739,17183816,19075660,21530464,12931673,20334251,16932652,16921236,15447396,24823636,23793567,29746381,21323990,19899617,22143983,23748170,25842126,40767301,30867161,28540068,21752303,13899670
FNB,3961472000,NYSE,358821000,142000000,147000000,139000000,138000000,109000000,53000000,99000000,111000000,37313195,44088219,40018346,45033634,42360228,57043286,50359402,76947529,37949692,47931176,53546499,52439510,62859190,43570321,36389750,43942025,54109229,51257433,54004791,65732742,53987257,71845061,49832626,40694017
FND,8972080000,NYSE,106443000,71452000,71524000,69237000,76175000,81832000,70951000,49873000,74645000,,,,,,,,,,,,,,,,,,,,,,,,
FNF,10699161000,NYSE,272174000,219000000,-59000000,68000000,289000000,537000000,400000000,533000000,732000000,22089018,90302653,23676051,23072906,28992921,30068806,21410682,53321622,22144566,28453382,32325343,29409921,31929310,42724325,31382856,25215040,38466842,43918863,52728041,45535755,46773599,45958028,39301350,32352997
FOUR,4292470000,NYSE,56467000,25100000,14800000,29200000,43100000,10300000,-7500000,-9400000,-9200000,,,,,,,,,,,,,,,,,,,,,,,,
FR,5769960000,NYSE,132254000,54636000,55967000,81997000,123888000,116991000,36258000,114417000,42446000,16159767,17558362,16785234,22556759,17412260,15595101,13953242,17890025,17943780,18760811,18529594,17905917,32119035,30340806,17693063,20622614,19576447,24946457,15305562,17410419,14292687,27807353,26775805,14130281
FRPT,2684352000,NASDAQ,48219000,-16952000,-24786000,-2917000,-18449000,-20586000,-17542000,-9266000,-2070000,8292223,9472753,16066795,9238472,11666211,17317407,14524107,24570342,14480858,12892072,11512878,12534184,18061538,32592194,24481814,15624913,14606952,26028514,9829690,11388405,7375848,13892509,14085906,10484034
IBKR,33844158000,NASDAQ,90820000,125000000,148000000,136000000,99000000,72000000,73000000,67000000,42000000,16005968,18482320,17758003,24472010,16018022,18499262,18724706,32242484,21744213,23790352,18414271,22351188,28386576,27306741,23211168,17288359,16837724,21179384,15268038,22956651,14411174,21220417,16820150,16025946
IBKR,33844158000,NASDAQ,90820000,125000000,148000000,136000000,99000000,72000000,73000000,67000000,42000000,16005968,18482320,17758003,24472010,16018022,18499262,18724706,32242484,21744213,23790352,18414271,22351188,28386576,27306741,23211168,17288359,16837724,21179384,15268038,22956651,14411174,21220417,16820150,16025946
ICLR,18529159000,NASDAQ,82151000,115598000,116654000,117445000,160154000,115734000,111970000,76468000,-94270000,7930691,9470194,11295015,15152059,17923438,16053908,11892955,11725560,10270246,10013724,11026029,12421649,14581182,11803721,9686421,8959624,11009591,10111572,10044566,14535022,14064312,13452738,10006849,8785847
ICLR,18529159000,NASDAQ,82151000,115598000,116654000,117445000,160154000,115734000,111970000,76468000,-94270000,7930691,9470194,11295015,15152059,17923438,16053908,11892955,11725560,10270246,10013724,11026029,12421649,14581182,11803721,9686421,8959624,11009591,10111572,10044566,14535022,14064312,13452738,10006849,8785847
ICUI,2624779000,NASDAQ,24135900,-9934000,-9812000,-15536000,-13208000,-7474000,-38068000,19925000,31081000,,,,,,,,,,,,,,,,,,,,,,,,
ICUI,2624779000,NASDAQ,24135900,-9934000,-9812000,-15536000,-13208000,-7474000,-38068000,19925000,31081000,,,,,,,,,,,,,,,,,,,,,,,,
IDA,4826628000,NYSE,50615000,68574000,56098000,42054000,106380000,64287000,46260000,32798000,97897000,5180624,7039912,5150234,4945539,4723691,3730279,3039165,4852631,5031923,3616599,5012425,4681366,3764126,3875459,3300815,3296768,5020009,5228065,4405887,6923664,4099144,4305984,4210570,4293295
IDA,4826628000,NYSE,50615000,68574000,56098000,42054000,106380000,64287000,46260000,32798000,97897000,5180624,7039912,5150234,4945539,4723691,3730279,3039165,4852631,5031923,3616599,5012425,4681366,3764126,3875459,3300815,3296768,5020009,5228065,4405887,6923664,4099144,4305984,4210570,4293295
INFA,6088299000,NYSE,243950000,-152466000,-116354000,-4381000,-15602000,-30506000,-3186000,-66332000,2727000,,,,,,,,,,,,,,,,,,,,,,,,
INFA,6088299000,NYSE,243950000,-152466000,-116354000,-4381000,-15602000,-30506000,-3186000,-66332000,2727000,,,,,,,,,,,,,,,,,,,,,,,,
