Ticker,Price,Market Cap,Exchange,Outstanding Shares
FIS,N/A,31163660000,NYSE,592465000
FITB,N/A,16811150000,NASDAQ,680889000
FLT,N/A,18484912000,NYSE,73957000
FMC,N/A,8010418000,NYSE,124734000
FOX,N/A,14783288000,NASDAQ,235581000
FOXA,N/A,14787979000,NASDAQ,250207000
FRT,N/A,7361563000,NYSE,81523000
FSLR,N/A,16162462000,NASDAQ,106831000
FTNT,N/A,46444831000,NASDAQ,785337000
FTV,N/A,26282113000,NYSE,352024000
GD,N/A,66313953000,NYSE,273043000
GE,N/A,118785794000,NYSE,1088380000
GEHC,N/A,30528729000,NASDAQ,454838000
GEN,N/A,10947196000,NASDAQ,639439000
GILD,N/A,98683986000,NASDAQ,1246010000
GIS,N/A,36765897000,NYSE,581279000
GL,N/A,10744968000,NYSE,94820000
GLW,N/A,24224688000,NYSE,852982000
GM,N/A,41359856000,NYSE,1375910000
GNRC,N/A,6240443000,NYSE,62243000
GOOG,N/A,1754545258000,NASDAQ,5801000000
GOOGL,N/A,1761944142000,NASDAQ,5933000000
GPC,N/A,21022165000,NYSE,140438000
GPN,N/A,29953909000,NYSE,259994000
GRMN,N/A,20630868000,NYSE,191452000
GS,N/A,103645274000,NYSE,329671000
GWW,N/A,36589658000,NYSE,50001000
HAL,N/A,38280307000,NYSE,898546000
HAS,N/A,7883263000,NASDAQ,138741000
HBAN,N/A,14739418000,NASDAQ,1447880000
HCA,N/A,65119367000,NYSE,271988000
HD,N/A,297350791000,NYSE,1000070000
HES,N/A,49562714000,NYSE,307061000
HIG,N/A,22135034000,NYSE,305817000
HII,N/A,8976589000,NYSE,39867600
HLT,N/A,40026022000,NYSE,261514000
HOLX,N/A,16954885000,NASDAQ,244942000
HON,N/A,123649458000,NASDAQ,663961000
HPE,N/A,21949735000,NYSE,1282860000
HPQ,N/A,26564669000,NYSE,988269000
HRL,N/A,17552970000,NYSE,546481000
HSIC,N/A,9453701000,NASDAQ,130585000
HST,N/A,11733460000,NASDAQ,711605000
HSY,N/A,39223095000,NYSE,149854000
HUM,N/A,64953291000,NYSE,123907000
HWM,N/A,18289668000,NYSE,412208000
IBM,N/A,127017017000,NYSE,911006000
ICE,N/A,63928816000,NYSE,571201000
IDXX,N/A,35657974000,NASDAQ,83012000
IEX,N/A,15320684000,NYSE,75602000
IFF,N/A,16946246000,NYSE,255253000
ILMN,N/A,20797454000,NASDAQ,158300000
INCY,N/A,12914191000,NASDAQ,224088000
INTC,N/A,153113281000,NASDAQ,4188000000
INTU,N/A,151592108000,NASDAQ,280259000
INVH,N/A,20087841000,NYSE,611956000
IP,N/A,12113424000,NYSE,345999000
IPG,N/A,11459515000,NYSE,384935000
IQV,N/A,36437615000,NYSE,183122000
IR,N/A,26265715000,NYSE,404399000
IRM,N/A,17998512000,NYSE,291852000
ISRG,N/A,97500348000,NASDAQ,351355000
IT,N/A,27978217000,NYSE,78825000
ITW,N/A,70641328000,NYSE,302390000
IVZ,N/A,5984604000,NYSE,448621000
J,N/A,17430827000,NYSE,125918000
JBHT,N/A,20336228000,NASDAQ,103345000
JCI,N/A,35812045000,NYSE,680320000
JKHY,N/A,10767238000,NASDAQ,72801000
JNJ,N/A,379333804000,NYSE,2408010000
JNPR,N/A,8456589000,NYSE,321360000
JPM,N/A,427434377000,NYSE,2891000000
K,N/A,17216631000,NYSE,342347000
KDP,N/A,39276982000,NASDAQ,1397260000
KEY,N/A,10033052000,NYSE,935919000
KEYS,N/A,23340460000,NYSE,177575000
KHC,N/A,38789399000,NASDAQ,1228290000
KIM,N/A,10674248000,NYSE,619875000
KLAC,N/A,66962727000,NASDAQ,136322000
KMB,N/A,41157112000,NYSE,338185000
KMI,N/A,38502777000,NYSE,2228170000
KMX,N/A,10832264000,NYSE,158668000
KO,N/A,231049495000,NYSE,4324340000
KR,N/A,31858506000,NYSE,719316000
KVUE,N/A,37091422000,NYSE,1914890000
L,N/A,14617492000,NYSE,225509000
LDOS,N/A,13104660000,NYSE,137351000
LEN,N/A,30904082000,NYSE,250152000
LH,N/A,17838723000,NYSE,88600000
LHX,N/A,33521932000,NYSE,189133000
LIN,N/A,184389911000,NYSE,487946000
LKQ,N/A,13551712000,NASDAQ,267556000
LLY,N/A,585373254000,NYSE,949295000
LMT,N/A,110908891000,NYSE,251831000
LNT,N/A,12699130000,NASDAQ,252719000
LOW,N/A,114413052000,NYSE,577115000
LRCX,N/A,86541943000,NASDAQ,132222000
LUV,N/A,15254187000,NYSE,595634000
LVS,N/A,34698248000,NYSE,764447000
LW,N/A,12266622000,NYSE,144927000
