Ticker,Price,Market Cap,Exchange,Outstanding Shares
LYB,N/A,30283241000,NYSE,324197000
LYV,N/A,19696325000,NYSE,230151000
MA,N/A,377977766000,NYSE,934848000
MAA,N/A,15901706000,NYSE,116677000
MAR,N/A,58765210000,NASDAQ,298240000
MAS,N/A,11813114000,NYSE,224926000
MCD,N/A,182147023000,NYSE,728763000
MCHP,N/A,42975171000,NASDAQ,544334000
MCK,N/A,62400229000,NYSE,134902000
MCO,N/A,58967073000,NYSE,183458000
MDLZ,N/A,85189501000,NASDAQ,1360420000
MDT,N/A,95465529000,NYSE,1330530000
MET,N/A,47640592000,NYSE,752022000
META,N/A,826370294000,NASDAQ,2222580000
MGM,N/A,12965348000,NYSE,350889000
MHK,N/A,5274797000,NYSE,63682000
MKC,N/A,16548420000,NYSE,251291000
MKTX,N/A,9119438000,NASDAQ,37677400
MLM,N/A,26678401000,NYSE,61804000
MMC,N/A,95086141000,NYSE,493954000
MMM,N/A,49646162000,NYSE,551992000
MNST,N/A,50982797000,NASDAQ,1047520000
MO,N/A,76077531000,NYSE,1774610000
MOH,N/A,20739060000,NYSE,58300000
MOS,N/A,12091670000,NYSE,332280000
MPC,N/A,60276482000,NYSE,399844000
MPWR,N/A,23082506000,NASDAQ,47778000
MRK,N/A,264257339000,NYSE,2537520000
MRNA,N/A,34991722000,NASDAQ,380593000
MRO,N/A,17231794000,NYSE,605687000
MS,N/A,130453250000,NYSE,1656970000
MSCI,N/A,40767013000,NYSE,79089000
MSFT,N/A,2471435436000,NASDAQ,7429760000
MSI,N/A,48990306000,NYSE,167020000
MTB,N/A,20355303000,NYSE,165949000
MTCH,N/A,10119586000,NASDAQ,278087000
MTD,N/A,23110437000,NYSE,21864800
MU,N/A,75851907000,NASDAQ,1098030000
NCLH,N/A,6364343000,NYSE,425424000
NDAQ,N/A,24713193000,NASDAQ,491316000
NDSN,N/A,12800325000,NASDAQ,57014000
NEE,N/A,110272315000,NYSE,2023710000
NEM,N/A,31831581000,NYSE,794000000
NFLX,N/A,159896306000,NASDAQ,443147000
NI,N/A,10790089000,NYSE,413255000
NKE,N/A,155295695000,NYSE,1224010000
NOC,N/A,73996296000,NYSE,151300000
NOW,N/A,112532521000,NYSE,204000000
NRG,N/A,9517520000,NYSE,229117000
NSC,N/A,47116964000,NYSE,227015000
NTAP,N/A,15857676000,NASDAQ,208791000
NTRS,N/A,14252226000,NASDAQ,207004000
NUE,N/A,37059580000,NYSE,248722000
NVDA,N/A,1138546573000,NASDAQ,2470000000
NVR,N/A,19312495000,NYSE,3264300
NWS,N/A,12639746000,NASDAQ,191504000
NWSA,N/A,12634382000,NASDAQ,378868000
NXPI,N/A,51091198000,NASDAQ,257802000
O,N/A,35963904000,NYSE,708788000
ODFL,N/A,45064311000,NASDAQ,109268000
OGN,N/A,4426438000,NYSE,255568000
OKE,N/A,40813883000,NYSE,582473000
OMC,N/A,15019347000,NYSE,197571000
ON,N/A,39566893000,NASDAQ,431529000
ORCL,N/A,297798009000,NYSE,2739380000
ORLY,N/A,56962171000,NASDAQ,60258000
OTIS,N/A,32939600000,NYSE,411745000
OXY,N/A,57831666000,NYSE,884682000
PANW,N/A,80703767000,NASDAQ,308595000
PARA,N/A,7870636000,NASDAQ,610399000
PAYC,N/A,15653791000,NYSE,57949000
PAYX,N/A,42889077000,NASDAQ,361232000
PCAR,N/A,44485476000,NASDAQ,522805000
PCG,N/A,41045348000,NYSE,2501240000
PEAK,N/A,9513269000,NYSE,547054000
PEG,N/A,30390868000,NYSE,499111000
PEP,N/A,221462462000,NASDAQ,1374860000
PFE,N/A,187841102000,NYSE,5645960000
PFG,N/A,17210108000,NASDAQ,241715000
PG,N/A,344270963000,NYSE,2356890000
PGR,N/A,91889959000,NYSE,585100000
PH,N/A,51017183000,NYSE,128510000
PHM,N/A,15993150000,NYSE,219445000
PKG,N/A,13706659000,NYSE,89915000
PLD,N/A,102474777000,NYSE,923862000
PM,N/A,144554836000,NYSE,1552350000
PNC,N/A,47056019000,NYSE,398255000
PNR,N/A,10539163000,NYSE,165113000
PNW,N/A,8671768000,NYSE,113312000
PODD,N/A,9489386000,NASDAQ,69821000
POOL,N/A,13623680000,NASDAQ,39052000
PPG,N/A,30699121000,NYSE,235513000
PPL,N/A,17822812000,NYSE,737089000
PRU,N/A,34739098000,NYSE,363000000
PSA,N/A,48615612000,NYSE,175829000
PSX,N/A,49774293000,NYSE,445288000
PTC,N/A,17161862000,NASDAQ,118833000
PWR,N/A,25610201000,NYSE,145199000
PXD,N/A,57996153000,NYSE,233141000
PYPL,N/A,62588285000,NASDAQ,1098040000
