Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,OldestDataDate
ALL,-1352000000,-320000000,-284000000,-668000000,-1013000000,660000000,817000000,538000000,,,,,,,,,,,,,
MRNA,-1380000000,79000000,1465000000,1043000000,2197000000,3657000000,4868000000,3333000000,,,,,,,,,,,,,2019-01-31
KR,-180000000,962000000,451000000,398000000,731000000,664000000,565000000,483000000,,,,,,,,,,,,,1999-12-31
AVY,100400000,121200000,122900000,221500000,214500000,198200000,182700000,164100000,,,,,,,,,,,,,
KMB,102000000,566000000,507000000,467000000,437000000,523000000,357000000,469000000,,,,,,,,,,,,,1999-12-31
CNC,1058000000,1130000000,-213000000,738000000,-172000000,849000000,599000000,584000000,,,,,,,,,,,,,
FDX,1078000000,1538000000,771000000,788000000,875000000,558000000,1112000000,1044000000,,,,,,,,,,,,,
ROL,110143000,88234000,88233000,107622000,101620000,73766000,71215000,93853000,,,,,,,,,,,,,
PPL,112000000,285000000,190000000,174000000,119000000,273000000,134000000,207000000,,,,,,,,,,,,,
HES,119000000,346000000,497000000,515000000,667000000,417000000,265000000,115000000,,,,,,,,,,,,,1999-12-31
GS,1216000000,3234000000,1326000000,3069000000,2927000000,3939000000,3935000000,5378000000,,,,,,,,,,,,,1999-12-31
CHTR,1223000000,1021000000,1196000000,1185000000,1471000000,1203000000,1610000000,1217000000,,,,,,,,,,,,,2010-02-26
AKAM,128816000,97106000,128762000,123694000,137840000,133376000,160534000,178916000,,,,,,,,,,,,,1999-12-31
ABT,1375000000,1318000000,1033000000,1435000000,2018000000,2447000000,1989000000,2100000000,,,,,,,,,,,,,1999-12-31
PM,1568000000,1995000000,2397000000,2087000000,2233000000,2331000000,2093000000,2426000000,,,,,,,,,,,,,2008-04-30
AFL,1634000000,1188000000,185000000,1596000000,1394000000,1047000000,1039000000,888000000,,,,,,,,,,,,,1999-12-31
EBAY,171000000,567000000,672000000,-69000000,-531000000,-1341000000,1969000000,264000000,,,,,,,,,,,,,1999-12-31
CLX,176000000,-211000000,99000000,85000000,101000000,150000000,69000000,142000000,,,,,,,,,,,,,1999-12-31
EVRG,179100000,142600000,7500000,428200000,194500000,122500000,53400000,449400000,,,,,,,,,,,,,2018-07-31
QCOM,1803000000,1704000000,2235000000,2873000000,3730000000,2934000000,3399000000,2798000000,,,,,,,,,,,,,1999-12-31
ELV,1853000000,1989000000,949000000,1618000000,1653000000,1789000000,1137000000,1509000000,,,,,,,,,,,,,
GEN,189000000,915000000,165000000,69000000,200000000,120000000,202000000,333000000,,,,,,,,,,,,,1999-12-31
DRI,194500000,315100000,286600000,187200000,193000000,281700000,247000000,193200000,,,,,,,,,,,,,1999-12-31
BWA,204000000,217000000,255000000,273000000,216000000,200000000,129000000,96000000,,,,,,,,,,,,,1999-12-31
MCD,2310400000,1802300000,1903400000,1981600000,1188000000,1104400000,1638800000,2149900000,,,,,,,,,,,,,1999-12-31
PFE,2327000000,5543000000,4994000000,8608000000,9906000000,7864000000,3393000000,8146000000,,,,,,,,,,,,,1999-12-31
LW,234800000,498800000,175100000,103100000,231900000,32000000,106600000,32500000,,,,,,,,,,,,,
FLT,239702000,214835000,225319000,248885000,262171000,217952000,225004000,234007000,,,,,,,,,,,,,2011-01-31
CDW,262600000,230100000,287200000,297800000,279300000,250200000,215300000,266600000,,,,,,,,,,,,,
IPG,265500000,126000000,297200000,251800000,229600000,159400000,357900000,239900000,,,,,,,,,,,,,1999-12-31
NDAQ,267000000,302000000,241000000,294000000,307000000,284000000,259000000,288000000,,,,,,,,,,,,,2002-08-30
LOW,2673000000,2260000000,958000000,154000000,2992000000,2333000000,1207000000,1896000000,,,,,,,,,,,,,1999-12-31
IFF,27000000,-9000000,-25000000,-2197000000,107000000,244000000,90000000,194000000,,,,,,,,,,,,,1999-12-31
DE,2978000000,2860000000,1959000000,2246000000,1884000000,2098000000,903000000,1283000000,,,,,,,,,,,,,
CAG,319700000,37500000,341700000,381900000,-77500000,158900000,218400000,275500000,,,,,,,,,,,,,1999-12-31
SNPS,336252000,272910000,271536000,153500000,222626000,294781000,313687000,201447000,,,,,,,,,,,,,
CPRT,347785000,350431000,293677000,245848000,263735000,278620000,287412000,260363000,,,,,,,,,,,,,1999-12-31
K,357000000,298000000,-98000000,310000000,326000000,422000000,433000000,307000000,,,,,,,,,,,,,1999-12-31
OTIS,376000000,331000000,297000000,324000000,321000000,311000000,281000000,331000000,,,,,,,,,,,,,2020-04-30
EXPE,385000000,-145000000,177000000,482000000,-185000000,-122000000,386000000,376000000,,,,,,,,,,,,,2005-08-31
CTAS,385085000,346201000,325827000,324293000,351689000,294461000,315448000,294669000,,,,,,,,,,,,,1999-12-31
ISRG,420800000,355300000,324900000,324000000,307800000,365600000,380600000,380500000,,,,,,,,,,,,,
