Ticker,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome
ESAB,65573000,31903000,60707000,52354000,55249000,55437000,39431000,60614000
JBL,233000000,207000000,223000000,315000000,218000000,222000000,241000000,175000000
LEN-B,1108996000,871694000,596534000,1322444000,1467344000,1320756000,503581000,1190491000
LOPE,28973000,59564000,71027000,30008000,25562000,58078000,85113000,47658000
MRCY,-8236000,5156000,-10920000,-14335000,16915000,4139000,-2639000,-7140000
QDEL,-53200000,48800000,30300000,19200000,19300000,479900000,291300000,215700000
SEIC,118851000,107015000,112224000,61659000,111276000,190308000,145300000,138045000
SMG,43700000,109400000,-64700000,-220000000,-443900000,276500000,-50000000,-47900000
SNX,139262000,167020000,221231000,148835000,148917000,132324000,119441000,94705000
UHAL.B,,,,,,,,
VSTS,,,,,,,,
ACM,-134701000,76615000,87945000,105600000,101888000,41557000,61548000,96200000
AGNC,286000000,-151000000,561000000,-666000000,-434000000,-651000000,-27000000,212000000
ALNY,-276024000,-174101000,-207493000,-405920000,-277402000,-240341000,-258460000,-204514000
AMH,115414000,137699000,103791000,61665000,74555000,70014000,61323000,48501000
APP,80357000,-4518000,-79512000,23771000,-21748000,-115257000,31366000,178000
AVT,155256000,187426000,243886000,184261000,246823000,183417000,150821000,111318000
AXTA,60900000,60500000,43600000,62400000,44100000,41500000,53200000,69100000
BC,134700000,112300000,141700000,163800000,197300000,174200000,101500000,143100000
BF.A,,,,,,,,
BFAM,20594000,8126000,18042000,18248000,24945000,19406000,17693000,26819000
BMRN,56040000,50852000,-249000,-6652000,27664000,120798000,-57898000,-36494000
BRX,56408000,112246000,107155000,79741000,87791000,79506000,81243000,46145000
CACI,107767000,100742000,87101000,89125000,92969000,95417000,90299000,88109000
CWEN.A,,,,,,,,
HEI.A,,,,,,,,
LEN.B,,,,,,,,
