Ticker,Market Cap,Exchange,Outstanding Shares,Q1_NetIncome,Q2_NetIncome,Q3_NetIncome,Q4_NetIncome,Q5_NetIncome,Q6_NetIncome,Q7_NetIncome,Q8_NetIncome,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month1_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume
CNXC,5296330000,NASDAQ,66915000,77635000,78850000,87870000,104944000,106690000,113142000,110273000,124108000,,,,,,,,,,,,,,,,,,,,,,,,
COHR,4836068000,NYSE,151411000,-178234000,2546000,-45072000,-38698000,43636000,49002000,67657000,74464000,21734117,31951504,38383339,27165105,44239384,45622553,33612972,44899297,35635303,24715428,28701660,27527042,27179213,27111571,26790003,25279478,54838023,102768670,45602454,101696607,58518026,24006124,30606334,26626508
COIN,17415834000,NASDAQ,189950000,-97405000,-78896000,-557001000,-544635000,-1093654000,-429659000,840208000,406100000,,,,,,,,,,,,,,,,,,,,,,,,
COLB,4142220000,NASDAQ,208571000,133377000,-14038000,82964000,84040000,78591000,91157000,42911000,53017000,26307843,23902930,15917807,24320041,17995945,13634072,18053349,19866520,16755764,18445484,19855439,19674385,15643149,17449309,17734878,12793125,31432370,30809917,44589615,36066183,53615266,39725456,85998803,58210699
COLD,7367819000,NYSE,270255000,-104724000,-2562000,2944000,-8912000,3935000,-17407000,-7965000,5294000,20857773,22585072,34686007,41868288,32927709,31259182,31553011,52496848,42655151,36590335,35009409,41352385,36993948,46373617,39579440,47834388,26838831,26957210,23038221,31978473,31332880,22852644,40826917,25163035
COLM,4477725000,NASDAQ,61330000,8350000,46202000,125690000,111750000,7163000,66837000,156961000,100563000,,,,,,,,,,,,,,,,,,,,,,,,
COTY,8580263000,NYSE,890993000,32900000,108400000,238300000,128600000,-281500000,53600000,261400000,226000000,111772046,112273178,130007266,124528490,163220529,140863102,121214996,179114331,249727444,161412359,89509688,201777086,210770982,189699624,115650381,232268255,113082308,85044013,96255893,94582281,125095890,86137064,124724851,141033979
CPNG,31286802000,NYSE,1608940000,145192000,90855000,102064000,90679000,-75491000,-209294000,-404979000,-323977000,,,,,,,,,,,,,,,,,,,,,,,,
CPRI,5992824000,NYSE,116140000,48000000,-34000000,225000000,224000000,201000000,81000000,322000000,200000000,27135931,38774444,41933543,34177679,44597309,40271806,40256316,62672135,59555777,34600300,26644229,75891133,48287551,34470829,30451533,44572535,41517930,121539030,39600688,57238280,59264648,36476791,69723669,70846579
CR,4768957000,NYSE,56773000,45600000,105700000,106700000,-59300000,280500000,105000000,72100000,116600000,,,,,,,,,,,2401560,,,,,,3386787,4664404,7202540,7436397,8788945,11034033,,
CRI,2519779000,NYSE,37258300,23867000,35996000,80179000,64957000,36970000,67933000,96973000,84976000,,,,,,,,,,,,,,,,,,,,,,,,
CROX,5205861000,NASDAQ,61644000,212412000,149543000,137735000,169349000,160315000,72760000,154853000,153489000,27567647,28027987,48443793,33339155,29472426,39510033,34713266,32517710,45516225,26626644,17461845,38618390,38103147,45667871,41739471,22461789,26522562,37211089,44098719,39790280,35448624,36694495,34002449,35558459
CRUS,3798494000,NASDAQ,54710000,15600000,-53669000,103477000,87188000,39707000,96414000,127636000,85096000,,,,,,,,,,,,,,,,,,,,,,,,
CRWD,44347707000,NASDAQ,226056000,8472000,491000,-47481000,-54956000,-49285000,-31523000,-41980000,-50455000,110875365,100581932,124631254,56997086,68520553,82620601,62384048,96501072,117559967,79628930,48285986,144590069,72080043,106610878,89397410,81778387,60217359,85109505,66933783,91652152,87267532,68062102,135805126,83319678
CSL,12311024000,NYSE,49919000,194600000,101700000,174200000,254700000,301500000,193600000,128100000,142100000,5802298,6569006,12949749,11420831,10000076,12494638,7774853,7278786,7412829,8001785,3499297,8158090,5798546,5594337,5347135,3669987,10012021,7336690,8356092,9525154,7746520,8705557,10742936,7548960
CUBE,8182630000,NYSE,224809000,97879000,97566000,81357000,112888000,58358000,38155000,39232000,90569000,,,,,,,,,,,,,,,,,,,,,,,,
CUZ,2783994000,NYSE,151774000,22621000,22196000,24118000,80639000,34052000,27984000,167305000,54018000,23406235,28102133,24829819,30404937,23265307,18026019,19243610,20186328,14023298,15733309,23213471,18895955,22152056,16037497,17548935,13789016,32898695,34182574,26240822,30324285,33463827,34089468,56926409,22869289
