Ticker,Price,Market Cap,Exchange,Outstanding Shares
TYL,N/A,16157265000,NYSE,42078400
UAL,N/A,12965049000,NASDAQ,327980000
UDR,N/A,12775857000,NYSE,329480000
UHS,N/A,8748705000,NYSE,62140000
ULTA,N/A,19064269000,NASDAQ,49228600
UNH,N/A,498379915000,NYSE,926305000
UNP,N/A,128491610000,NYSE,609456000
UPS,N/A,133849588000,NYSE,723276000
URI,N/A,30117452000,NYSE,68283000
USB,N/A,50788360000,NYSE,1556970000
V,N/A,499297616000,NYSE,1606790000
VFC,N/A,6295773000,NYSE,388868000
VICI,N/A,29328665000,NYSE,1013430000
VLO,N/A,45624783000,NYSE,353133000
VLTO,N/A,N/A,N/A,N/A
VMC,N/A,28305773000,NYSE,132866000
VRSK,N/A,35171951000,NASDAQ,145027000
VRSN,N/A,21779837000,NASDAQ,103134000
VRTX,N/A,96527532000,NASDAQ,258095000
VTR,N/A,17535633000,NYSE,402378000
VTRS,N/A,11191614000,NASDAQ,1199530000
VZ,N/A,131376251000,NYSE,4204040000
WAB,N/A,18774614000,NYSE,179130000
WAT,N/A,15081287000,NYSE,59103000
WBA,N/A,19679984000,NASDAQ,863915000
WBD,N/A,25275632000,NASDAQ,2437380000
WDC,N/A,14829634000,NASDAQ,324145000
WEC,N/A,26376675000,NYSE,315435000
WELL,N/A,44169773000,NYSE,518729000
WFC,N/A,151519789000,NYSE,3637930000
WHR,N/A,6938289000,NYSE,54818000
WM,N/A,64744632000,NYSE,405059000
WMB,N/A,43462685000,NYSE,1216420000
WMT,N/A,433906385000,NYSE,2691560000
WRB,N/A,16741572000,NYSE,257523000
WRK,N/A,9494603000,NYSE,256403000
WST,N/A,28657777000,NYSE,73861000
WTW,N/A,21789557000,NASDAQ,104823000
WY,N/A,21980901000,NYSE,730748000
WYNN,N/A,10337414000,NASDAQ,113936000
XEL,N/A,32849306000,NASDAQ,551533000
XOM,N/A,435723043000,NYSE,3962920000
XRAY,N/A,6681778000,NASDAQ,211716000
XYL,N/A,22132185000,NYSE,240829000
YUM,N/A,33190994000,NYSE,280211000
ZBH,N/A,21951668000,NYSE,208964000
ZBRA,N/A,11036216000,NASDAQ,51338000
ZION,N/A,5321368000,NASDAQ,148145000
ZTS,N/A,80638329000,NYSE,460317000
