Ticker,Month1_Volume,Month2_Volume,Month3_Volume,Month4_Volume,Month5_Volume,Month6_Volume,Month7_Volume,Month8_Volume,Month9_Volume,Month10_Volume,Month11_Volume,Month12_Volume,Month13_Volume,Month14_Volume,Month15_Volume,Month16_Volume,Month17_Volume,Month18_Volume,Month19_Volume,Month20_Volume,Month21_Volume,Month22_Volume,Month23_Volume,Month24_Volume
QRVO,13591264,26453165,27842022,21900675,24087096,31693751,21049475,27946198,29971633,24088515,24965474,29275431,26297949,30093312,29174405,24599882,30316323,35487441,22880133,28207623,33011826,26767131,29311972,35061349
RCL,38073107,59288228,55139738,69004385,93201266,85777473,53148644,86941632,78081988,76502413,71390848,109254339,160048510,166111884,178744798,142533813,148600425,92059230,49424798,99693407,90313207,83067213,111514066,88542485
REG,13915895,18427236,28641338,16756336,20095038,20547725,11884728,23759527,16814932,19690447,21728277,17345725,22891157,21397363,18876259,13623241,21026437,24380041,15088547,23567899,21522275,19181466,18327444,18544262
REGN,4786662,8085604,11811041,13083044,14710874,12550734,8863888,15598976,12342215,12419752,12466011,14472057,15486460,20754110,12449106,10329062,16784945,14654597,11866287,15750284,14595945,16058449,16069639,16067375
RF,123802736,162122679,152070974,140512886,186811873,229298252,191386815,437745302,134033434,150626297,155326089,124228856,213306879,182209066,138187703,151384422,152592139,173403773,197069850,232356384,188385676,253707797,170533579,137757788
RHI,9573205,13960442,16765875,27225940,20337293,24106510,17135675,24210595,18817152,19345544,15639233,20009199,31121228,19227262,17696825,20147814,24740942,21849219,19188747,16341221,18852655,23882335,17095443,14718118
RJF,9508028,18088812,15523052,17522487,23329469,28291893,30581012,45934753,20605258,31736224,26065719,27706268,33264002,21119104,16984481,22492414,29253771,26574119,28262840,28929129,24683412,27710389,23279325,18691448
RL,9731507,13444116,21503966,19517573,19102501,22114583,16261552,19498188,22014232,17323630,17605614,21014328,18985900,24226105,23142615,14698984,22866029,27148350,17860188,25676160,27165839,16319470,16493035,21987799
RMD,21570804,39087087,37291081,11977010,13539636,15234185,9232041,13235475,12602544,14178147,11682816,10078218,11910842,9413857,10394354,10636648,14089827,12813809,9750330,13549457,13073587,11737991,9496971,11189872
ROK,10000506,15243549,19653375,12229480,16335561,16309837,14397520,16315542,11555586,15806516,13883538,16905225,13719369,16373794,14982779,18567474,26438488,28588047,12266666,16549918,13656054,14550103,12402740,13265154
ROL,30880028,92209955,28503133,31495981,29543153,36476652,25784492,32023977,27441594,24302115,35047660,35179881,32426426,25392371,31103360,31898707,29648167,40965897,24520809,38076641,38064164,53418963,50300174,31054140
ROP,4340466,7498851,6798607,9690949,10366901,11381212,9745062,15463849,10134893,9526724,6632742,11672983,13643308,12180655,8985569,9319212,14591782,14630337,13383581,9964965,10412491,11281897,8661907,7584388
ROST,26885133,42348976,58242043,40537297,54757754,54710911,34325615,60971803,44549695,40693136,46623228,71245510,47873927,51911995,59728708,50005512,79734011,124171248,55100999,67935474,57857393,57575009,37451485,48517295
RSG,14625684,19903904,24192794,20668152,21742511,27019044,20726466,33687119,31150382,32674145,20420835,29674435,27101382,24577364,22141320,17594680,25308766,32743694,23010280,28443080,33628019,24727612,19021165,19033585
RTX,110597185,212357646,126852835,165753942,100519406,87674793,75707212,112697723,81308415,103809638,83644108,89488262,107046685,120968055,90898736,89789656,95275642,119810294,102357457,161941563,133340528,122371553,107095917,99973527
RVTY,7404589,14215592,14783175,14922372,17897452,19847332,13359473,18226685,18381345,17503516,14595780,20967576,16089850,16069278,17733148,13058997,13925675,19935189,14262212,15966122,16548054,23679222,26068676,17908116
SBAC,10882409,14818398,18609573,23157802,18249438,18393580,10983112,20620920,16909638,14048262,12421267,16155479,19126793,11358422,11702392,9896769,16250287,14668279,13497877,16086341,12833759,18183329,12270793,10684326
SBUX,72445119,113133545,127095831,131344332,151111110,157237331,96603139,132246886,123055082,128337103,130723086,162110765,158238943,203544072,129831852,118100865,181508893,291689299,194584347,249626961,161927190,218172928,136730749,161032052
SCHW,147766871,180881069,185333335,239397152,266823318,349902966,471824078,1028072615,128464237,204057290,131668283,145951573,191799358,145713968,166148013,133727758,191332752,169980982,202218451,179558114,150876979,197926240,116209137,103326670
SEDG,27047878,34623752,46050571,22204206,24220592,24772828,18392208,26252864,25643120,18874324,18462652,26425604,25948142,19731085,27158157,18120927,17568883,18757671,17604743,30360048,18491290,20342202,25754011,14278572
SEE,22032533,35276071,54209074,30456119,30809739,29992486,19340346,24720208,25320975,19932151,17981296,29436683,22282808,22513258,24637874,15933439,20722103,18542548,12488459,23137113,20383288,18942683,17035736,19656874
SHW,16662476,25184246,30283651,31155355,28428333,30255534,27369220,33685050,31328138,34907969,24465104,35060120,33494685,30319398,34589561,35556453,36277828,40324244,36665115,36144628,27403275,39946671,22881766,23972631
SJM,16197274,32968198,19735250,15433043,19806790,22008260,13347510,22694144,19926015,16960670,14738089,18663846,15364159,16457359,19020288,14496354,22240545,23336874,13505409,22079651,14683349,16171967,15851457,16853088
SLB,93219930,167352577,167910521,239438945,195321391,224966239,172684871,241434296,164300821,198195688,211166298,283752313,354114977,246125489,242641297,247152421,344193494,273842137,244638666,469593058,288611463,338022261,201979106,250620592
SNA,3115798,4610294,4361823,5693840,5784745,6529336,6541305,6969808,6376544,5446348,6043896,5461926,6905149,6743039,5682290,5836538,6585842,6965861,9497703,9540658,7366134,5815470,7040476,8006478
SNPS,10116758,15982117,16204312,17736100,23343500,25235000,12059917,19060336,17511027,12647881,20159635,17569153,24616232,24638729,24654064,16338181,19355133,23419725,19249119,23915428,18368875,18682957,19417254,12161030
SO,63888450,82795167,71455081,80105448,92368131,91998399,68914251,120865612,78204828,74655529,105221907,94322359,96023063,82450184,82909698,87324129,105981752,112439366,115552813,126455479,132940722,111604821,106252436,86316942
SPG,18268729,35034254,29531815,26862136,35143108,31094816,22964430,44619901,27684709,32162580,34499287,37794572,42526059,47418173,37716176,33023695,52011063,50701697,36907864,51540947,43987410,41583853,49997645,47844625
SPGI,11453765,22935055,23474658,27951190,24791877,23721622,21274287,34878142,24825358,28679690,34688530,39141789,38397534,40420648,36497744,35759198,58708855,68282875,35548153,70650586,45115852,32298683,25648808,29160641
SRE,39784805,49656600,34906795,20170275,22828970,29987329,21821945,36350347,24531209,23443090,23441306,25900420,30451208,29096560,24985705,29878851,36171693,32352015,30717560,47945617,28007837,38160090,33071407,35208878
STE,4795197,7141002,7537530,8076369,9562671,10883134,6701477,12137319,13197971,8389510,11569582,13146796,11489102,17366905,11140944,8401066,11643595,10393863,8391881,11319146,10080529,9464743,8713971,10317857
STLD,14144712,29150852,27898704,24357684,36566214,35223179,33853407,51496387,29827333,35635439,79384671,30664911,38958605,38466875,35625069,36105061,46527402,50120004,41672346,61593923,41296288,52380837,37328440,35890344
STT,31549967,41986896,48668715,68091904,52776553,52318830,63227852,71783108,50932175,65388395,57609384,55644632,53274102,44724596,29086702,52181845,63914041,58356765,58824660,48831744,39941061,62615647,49305352,35676396
STX,33478811,71394972,48431514,47084004,46628361,46815613,50278945,55716919,39485730,63916838,49512665,47748734,74127377,49591128,39165472,47017651,38404125,41118399,37981223,46646064,34903713,54218315,41191885,56461582
STZ,19226408,15377063,18715424,22672625,23323371,27167521,21576798,24352601,20851583,42793189,22542735,20605507,22867945,20200064,22254611,18204653,22502311,25365409,19758094,17176579,21419900,23729813,21024556,22777366
SWK,20629296,26413369,29374130,32708087,36097246,36048352,27206615,42878352,37386534,38637900,35897287,37415393,49285814,34198137,43837984,37467242,42573788,39657362,46225310,61497774,37302004,23576083,32812921,27042038
